word	definition
batci	x₁ (Entity) bites or pinches x₂ (Entity) at locus x₃ (Entity) with x₄ (Entity)
batke	x₁ (Entity) is a button / knob / handle on item x₂ (Entity) for purpose x₃ (nu, Event) made of material x₄ (Entity)
bavmi	x₁ (Entity) is a quantity of barley of species or strain x₂ (Taxon)
baxso	x₁ (Entity) reflects Malay–Indonesian common language or culture in aspect x₂ (ka, Property of x₁)
bebna	x₁ (Entity) is foolish or silly in event / action / property x₂ (ka, Property of x₁)
bemro	x₁ (Entity) reflects North American culture / nationality / geography in aspect x₂ (ka, Property of x₁)
bende	x₁ (Group<Entity>) is a crew / team / gang / squad / band of persons x₂ (Set<Entity>) directed or led by x₃ (Entity) and organized for purpose x₄ (nu, Event)
bengo	x₁ (Entity) reflects Bengali / Bangladesh culture / nationality / language in aspect x₂ (ka, Property of x₁)
benji	x₁ (Entity) transfers / sends / transmits x₂ (Entity) to receiver x₃ (Entity) from origin x₄ (Entity) via means or medium x₅ (Entity)
bersa	x₁ (Entity) is a son of parent(s) x₂ (Entity)
berti	x₁ (Entity) is to the north / on the northern side of x₂ (Entity) according to frame of reference x₃ (Entity)
besna	x₁ (Entity) is a brain body-part of body x₂ (Entity)
betfu	x₁ (Entity) is an abdomen / belly / lower trunk body-part of body x₂ (Entity)
betri	x₁ (ka, Property of x₂) is a tragedy or disaster for x₂ (Entity)
bevri	x₁ (Entity) carries / hauls / bears / transports cargo x₂ (Entity) to destination x₃ (Entity) from origin x₄ (Entity) over path x₅ (Entity)
bidju	x₁ (Entity) is a bead or pebble of material x₂ (Entity)
bifce	x₁ (Organism) is a bee / wasp / hornet of species x₂ (Taxon)
bikla	x₁ (Entity) whips / lashes / snaps with sudden violent motion
bilga	x₁ (Entity) is bound or obliged to do or be x₂ (ka, Property of x₁) by standard or agreement x₃ (si'o, Standard)
bilma	x₁ (Organism) is ill / sick / diseased with symptoms x₂ (ka, Property of x₁) from disease x₃ (nu, Event)
bilni	x₁ (Entity) is military / regimented / strongly organized or prepared by system x₂ (Entity) for purpose x₃ (nu, Event)
bindo	x₁ (Entity) reflects Indonesian culture / nationality / language in aspect x₂ (ka, Property of x₁)
binra	x₁ (Entity) insures or indemnifies person x₂ (Entity) against peril x₃ (nu, Event) providing benefit(s) x₄ (nu, Event)
binxo	x₁ (Entity) becomes / changes / converts / transforms into x₂ (Entity) under conditions x₃ (nu, Event)
birje	x₁ (Entity) is made of / contains / is a quantity of beer or ale brewed from x₂ (Entity)
birka	x₁ (Entity) is an arm body-part of body x₂ (Entity)
birti	x₁ (Entity) is certain / sure / convinced that x₂ (du'u, Proposition) is true
bisli	x₁ (Entity) is a quantity of / is made of / contains ice of composition including x₂ (Entity)
bitmu	x₁ (Entity) is a wall or fence separating x₂ (Entity) and x₃ (Entity) in structure x₄ (Entity)
blabi	x₁ (Entity) is white or very light-colored
blaci	x₁ (Entity) is a quantity of / is made of / contains glass of composition including x₂ (Entity)
blanu	x₁ (Entity) is blue in color
bliku	x₁ (Entity) is a block three-dimensional shape of material x₂ (Entity) with surfaces or sides x₃ (Entity)
bloti	x₁ (Entity) is a boat or ship for carrying x₂ (Entity) propelled by means x₃ (Entity)
bolci	x₁ (Entity) is a ball / sphere / orb / globe of material x₂ (Entity)
bongu	x₁ (Entity) is a bone body-part performing function x₂ (ka, Property of x₁) in body of x₃ (Organism)
botpi	x₁ (Entity) is a bottle or jar or urn or flask container for x₂ (Entity) made of material x₃ (Entity) with lid x₄ (Entity)
boxfo	x₁ (Entity) is a sheet or foil or blanket two-dimensional flexible shape of material x₂ (Entity)
boxna	x₁ (Entity) is a wave periodic pattern in medium x₂ (Entity) with waveform x₃ (Entity), wavelength x₄ (Number), frequency x₅ (Number)
bradi	x₁ (Entity) is an enemy or opponent or adversary or foe of x₂ (Entity) in struggle x₃ (nu, Event)
bratu	x₁ (Entity) is hail or sleet or freezing rain of material including x₂ (Entity)
brazo	x₁ (Entity) reflects Brazilian culture / nationality / language in aspect x₂ (ka, Property of x₁)
bredi	x₁ (Entity) is ready or prepared for x₂ (nu, Event)
bridi	x₁ (du'u, Proposition) is a predicate relationship with relation x₂ (Relation<members of x₃>) among arguments x₃ (Sequence<Entity> or Set<Entity>)
brife	x₁ (Entity) is a breeze or wind or gale from direction x₂ (Entity) with speed x₃ (Number)
briju	x₁ (Location) is an office or bureau or workplace of worker x₂ (Entity) at location x₃ (Location)
brito	x₁ (Entity) reflects British or United Kingdom culture / nationality in aspect x₂ (ka, Property of x₁)
broda	x₁ (Predicate variable) is the first assignable variable predicate with context-determined place structure
brode	x₁ (Predicate variable) is the second assignable variable predicate with context-determined place structure
brodi	x₁ (Predicate variable) is the third assignable variable predicate with context-determined place structure
brodo	x₁ (Predicate variable) is the fourth assignable variable predicate with context-determined place structure
brodu	x₁ (Predicate variable) is the fifth assignable variable predicate with context-determined place structure
bruna	x₁ (Entity) is a brother of x₂ (Entity) by bond or tie or standard or parent(s) x₃ (Entity)
budjo	x₁ (Entity) pertains to Buddhist culture / religion / ethos in aspect x₂ (ka, Property of x₁)
bukpu	x₁ (Entity) is an amount of cloth or fabric of type or material x₂ (Entity)
bumru	x₁ (Entity) is foggy or misty or covered by a fog or mist or vapor of liquid x₂ (Entity)
bunda	x₁ (Entity) is x₂ (Number) local weight units in standard x₃ (Entity) with subunits x₄ (Entity)
bunre	x₁ (Entity) is brown or tan in color
burcu	x₁ (Entity) is a brush for purpose x₂ (nu, Event) with bristles x₃ (Entity)
burna	x₁ (Entity) is embarrassed or disconcerted or flustered or ill at ease about conditions x₂ (Abstraction)
cabna	x₁ (nu, Event) is current or in the present or concurrent or simultaneous with x₂ (nu, Event or TimeInterval) in time
cabra	x₁ (Entity) is apparatus or mechanism or device or equipment for function x₂ (Property of x₁) controlled or triggered by x₃ (Entity)
cacra	x₁ (TimeInterval) is x₂ (Number) hours in duration by standard x₃ (si'o, Standard)
cadzu	x₁ (Entity) walks or strides or paces on surface x₂ (Entity) using limbs x₃ (Entity)
cafne	x₁ (nu, Event) often or frequently or commonly or customarily occurs or recurs by standard x₂ (si'o, Standard)
cakla	x₁ (Entity) is a quantity of or contains or is made of chocolate or cocoa
calku	x₁ (Entity) is a shell or husk around x₂ (Entity) composed of x₃ (Entity)
canci	x₁ (Entity) vanishes or disappears from location x₂ (Location) using senses or sensor x₃ (Entity)
cando	x₁ (Entity) is idle or at rest or inactive
cange	x₁ (Location) is a farm or ranch at x₂ (Location) farmed by x₃ (Entity) raising or producing x₄ (Entity or Group<Entity>)
canja	x₁ (Entity) exchanges or trades or barters commodity x₂ (ka, Property of x₁) for x₃ (ka, Property of x₄) with x₄ (Entity)
canko	x₁ (Entity) is a window or portal or opening in wall or building or structure x₂ (Entity)
canlu	x₁ (Location) is space or volume or region or room occupied by x₂ (Entity)
canpa	x₁ (Entity) is a shovel or spade for digging x₂ (Entity)
canre	x₁ (Entity) is a quantity of or contains or is made of sand or grit from source x₂ (Entity) of composition including x₃ (Entity)
canti	x₁ (Entity) is gut or entrails or intestines or viscera or digestive system body-part of x₂ (Organism)
carce	x₁ (Entity) is a cart or carriage or wagon for carrying x₂ (Entity) propelled by x₃ (Entity)
carmi	x₁ (Entity) is intense or bright or saturated or brilliant in property x₂ (ka, Property of x₁) as received or measured by observer x₃ (Entity)
carna	x₁ (Entity) turns or rotates or revolves around axis x₂ (Entity) in direction x₃ (Entity) towards point x₄ (Entity)
cartu	x₁ (Entity) is a chart or diagram or map of or about x₂ (Entity) showing formation or data-points x₃ (Entity or Set<Entity>)
carvi	x₁ (Entity) rains or showers or precipitates to x₂ (Location) from x₃ (Entity); x₁ is precipitation
casnu	x₁ (Entity or Group<Entity>) discusses or talks about topic or subject x₂ (Entity or Abstraction)
catke	x₁ (Entity) shoves or pushes x₂ (Entity) at locus x₃ (Entity)
catlu	x₁ (Entity) looks at or examines or views or inspects or regards or watches or gazes at x₂ (Entity)
catni	x₁ (Entity) has authority or is an official in or on or over matter or sphere or persons x₂ (Entity or Group<Entity>) derived on basis x₃ (Entity or du'u, Proposition)
catra	x₁ (Entity) kills or slaughters or murders x₂ (Entity) by action or method x₃ (ka, Property of x₁)
caxno	x₁ (Entity) is shallow in extent in direction or property x₂ (ka, Property of x₁) away from reference point x₃ (Entity) by standard x₄ (si'o, Standard)
cecla	x₁ (Entity) launches or fires or shoots projectile or missile x₂ (Entity) propelled by x₃ (Entity)
cecmu	x₁ (Group<Entity>) is a community or colony of organisms x₂ (Group<Organism>)
cedra	x₁ (TimeInterval) is an era or epoch or age characterized by x₂ (ka, Property of x₁)
cenba	x₁ (Entity) varies or changes in property or quantity x₂ (ka, Property of x₁) in amount or degree x₃ (ni, Amount of x₂) under conditions x₄ (nu, Event)
censa	x₁ (Entity) is holy or sacred to person or people or culture or religion or cult or group x₂ (Entity or Group<Entity>)
centi	x₁ (Entity) is 10^-2 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
cerda	x₁ (Entity) is an heir to or is to inherit x₂ (ka, Property of x₃) from x₃ (Entity) according to rule x₄ (du'u, Proposition)
cerni	x₁ (TimeInterval) is a morning of day x₂ (TimeInterval) at location x₃ (Location)
certu	x₁ (Entity) is an expert or pro or skilled at x₂ (nu, Event or ka, Property of x₁) by standard x₃ (si'o, Standard)
cevni	x₁ (Entity) is a god or deity of people or religion x₂ (Group<Entity>) with dominion over sphere x₃ (ka, Property of nonce place)
cfari	x₁ (nu, Event) commences or initiates or starts or begins to occur
cfika	x₁ (Entity) is a work of fiction about plot or theme or subject x₂ (Entity) by author x₃ (Entity)
cfila	x₁ (ka, Property of x₂) is a flaw or fault or defect in x₂ (Entity) causing x₃ (nu, Event)
cfine	x₁ (Entity) is a wedge shape or tool of material x₂ (Entity)
cfipu	x₁ (nu, Event) or state confuses or baffles observer x₂ (Entity) due to confusing property x₃ (ka, Property of x₁)
ciblu	x₁ (Entity) is blood or vital fluid of organism x₂ (Organism)
cicna	x₁ (Entity) is cyan or turquoise or greenish-blue in color
cidja	x₁ (Entity) is food or feed or nutriment for x₂ (Entity)
cidni	x₁ (Entity) is a knee or elbow or knuckle hinged joint of limb x₂ (Entity) of body x₃ (Entity)
cidro	x₁ (Entity) is a quantity of or contains or is made of hydrogen x₂ (Entity)
cifnu	x₁ (Organism) is an infant or baby of species x₂ (Taxon)
cigla	x₁ (Entity) is a gland body-part secreting x₂ (Entity) in body x₃ (Entity)
cikna	x₁ (Entity) is awake or alert or conscious
cikre	x₁ (Entity) repairs or mends or fixes x₂ (Entity) for use x₃ (ka, Property of x₂)
ciksi	x₁ (Entity) explains x₂ (nu, Event) to x₃ (Entity) with explanation x₄ (du'u, Proposition)
cilce	x₁ (Entity) is wild or untamed
cilmo	x₁ (Entity) is moist or wet or damp with liquid x₂ (Entity)
cilre	x₁ (Entity) learns x₂ (du'u, Proposition) about subject x₃ (Entity) from source x₄ (Entity or nu, Event) by method x₅ (nu, Event)
cilta	x₁ (Entity) is a thread or filament or wire of material x₂ (Entity)
cimde	x₁ (ka, Property of x₂) is a dimension of space or object x₂ (Entity) according to rules or model x₃ (ka, Property of x₂)
cimni	x₁ (Entity) is infinite or unending or eternal in property or dimension x₂ (ka, Property of x₁) to degree x₃ (Number)
cinba	x₁ (Entity) kisses or buss(es) x₂ (Entity) at locus x₃ (Entity)
cindu	x₁ (Entity) is an oak tree of species x₂ (Taxon)
cinfo	x₁ (Organism) is a lion or lioness of species x₂ (Taxon)
cinje	x₁ (Entity) is a wrinkle or crease or fold in x₂ (Entity)
cinki	x₁ (Organism) is an insect or arthropod of species x₂ (Taxon)
cinla	x₁ (Entity) is thin in direction or dimension x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
cinmo	x₁ (Entity) feels emotion x₂ (ka, Property of x₁) about x₃ (Entity)
cinri	x₁ (Abstraction) interests or is interesting to x₂ (Entity)
cinse	x₁ (Entity) in activity or state x₂ (nu, Event) exhibits sexuality or gender or sexual orientation x₃ (ka, Property of x₁) by standard x₄ (Entity)
cinta	x₁ (Entity) is a paint material of pigment or active substance x₂ (Entity) in base x₃ (Entity)
cinza	x₁ (Entity) is tongs or chopsticks or pincers or tweezers or pliers tool or body-part for x₂ (Entity) to pinch x₃ (Entity)
cipni	x₁ (Organism) is a bird or avian or fowl of species x₂ (Taxon)
cipra	x₁ (nu, Event or Process) is a test or examination or proof of property or state x₂ (ka, Property of x₃ or nu, Event) in subject x₃ (Entity or Set<Entity> or Group<Entity>)
cirko	x₁ (Entity) loses person or thing x₂ (ka, Property of x₁) at or near location or situation x₃ (Entity or nu, Event)
cirla	x₁ (Entity) is a quantity of or contains cheese or curd from source x₂ (Entity)
ciska	x₁ (Entity) writes or inscribes text x₂ (Text) on medium x₃ (Entity) with writing implement x₄ (Entity)
cisma	x₁ (Entity) smiles or grins
ciste	x₁ (Group<Entity>) is a system interrelated by structure x₂ (Entity) among components x₃ (Set<Entity>) displaying systemic property x₄ (ka, Property of x₁)
citka	x₁ (Entity) eats or ingests or consumes x₂ (Entity)
citno	x₁ (Entity) is young or youthful by standard x₂ (si'o, Standard)
citri	x₁ (Entity) is a history of x₂ (Entity) according to viewpoint person x₃ (Entity)
citsi	x₁ (TimeInterval) is a season cyclical interval defined by interval or property x₂ (ka, Property of x₁) of year(s) x₃ (SplicedTimeInterval)
civla	x₁ (Organism) is a louse or flea of species x₂ (Taxon) parasitic on x₃ (Organism)
cizra	x₁ (Entity) is strange or weird or deviant or bizarre or odd to x₂ (Entity) in property x₃ (ka, Property of x₁)
ckabu	x₁ (Entity) is a quantity of or contains or is made of rubber or latex from source x₂ (Entity) of composition including x₃ (Entity)
ckafi	x₁ (Entity) is made of or contains or is a quantity of coffee from source or bean or grain x₂ (Entity)
ckaji	x₁ (Entity) has or is characterized by property or feature or trait or aspect x₂ (ka, Property of x₁)
ckana	x₁ (Entity) is a bed or pallet of material x₂ (Entity) for holding or supporting x₃ (Entity or nu, Event)
ckape	x₁ (Entity or nu, Event) is perilous or dangerous or potentially harmful to x₂ (Entity or nu, Event) under conditions x₃ (nu, Event)
ckasu	x₁ (Entity) ridicules or mocks or scoffs at x₂ (Entity) about x₃ (ka, Property of x₂ or nu, Event) by doing activity x₄ (nu, Event)
ckeji	x₁ (Entity) feels ashamed or mortified or humiliated under conditions x₂ (nu, Event) before audience x₃ (Entity)
ckiku	x₁ (Entity) is a key fitting or releasing or opening or unlocking lock x₂ (Entity) and having relevant properties x₃ (ka, Property of x₁)
ckilu	x₁ (si'o, Scale) is a scale of units for measuring or observing or determining state x₂ (ka, Property of nonce place)
ckini	x₁ (Entity) is related or associated or akin to x₂ (Entity) by relationship x₃ (Relation<x₁, x₂>)
ckire	x₁ (Entity) is grateful or thankful or appreciative to x₂ (Entity) for x₃ (ka, Property of x₂)
ckule	x₁ (Location) is a school or institute or academy at x₂ (Location) teaching subjects x₃ (Entity or Set<Entity>) to audience x₄ (Group<Entity>) operated by x₅ (Entity)
ckunu	x₁ (Entity) is a conifer or pine or fir of species x₂ (Taxon) with cones x₃ (Entity)
cladu	x₁ (Sound) is loud or noisy at observation point x₂ (Location) by standard x₃ (si'o, Standard)
clani	x₁ (Entity) is long in dimension or direction x₂ (ka, Property of x₁) by measurement standard x₃ (si'o, Standard)
claxu	x₁ (Entity) is without or lacks or is free of x₂ (Entity or ka, Property of x₁)
clika	x₁ (Organism) is moss or lichen of species x₂ (Taxon) growing on x₃ (Entity)
clira	x₁ (nu, Event) is early by standard x₂ (si'o, Standard)
clite	x₁ (Entity) is polite or courteous or civil in matter x₂ (ka, Property of x₁) according to standard or custom x₃ (Entity)
cliva	x₁ (Entity) leaves or goes away or departs or separates from x₂ (Entity) via route x₃ (Entity)
clupa	x₁ (Entity) is a loop or circuit of material x₂ (Entity)
cmaci	x₁ (Entity) is mathematics of type or describing x₂ (Entity)
cmalu	x₁ (Entity) is small in property or dimension(s) x₂ (ka, Property of x₁) as compared with standard x₃ (si'o, Standard)
cmana	x₁ (Entity) is a mountain or hill or mound projecting from land mass x₂ (Entity)
cmavo	x₁ (Text) is a structure word of grammatical class x₂ (Text) with meaning or function x₃ (Entity) in usage language x₄ (Entity)
cmene	x₁ (Text) is a name or title or tag of x₂ (Entity) used by namer or name-user x₃ (Entity)
cmila	x₁ (Entity) laughs
cmima	x₁ (Entity) is a member or element of set x₂ (Set<Entity>) or belongs to group x₂ (Group<Entity>)
cmoni	x₁ (Entity) utters moan or groan or howl or scream non-linguistic utterance x₂ (Sound) expressing property x₃ (ka, Property of x₁)
cnano	x₁ (Number or Entity) is a norm or average in property  x₂ (ka, Property of x₁) among x₃ (Set<Entity>) by standard x₄ (si'o, Standard)
cnebo	x₁ (Entity) is a neck body-part of x₂ (Organism)
cnemu	x₁ (Entity) rewards x₂ (Entity) for atypical x₃ (ka, Property of x₂) with reward x₄ (ka, Property of x₁)
cnici	x₁ (Entity) is orderly or neat or ordered in property or quantity x₂ (ka, Property of x₁)
cnino	x₁ (Entity) is new or unfamiliar or novel to observer x₂ (Entity) in feature x₃ (ka, Property of x₁) by standard x₄ (si'o, Standard)
cnisa	x₁ (Entity) is a quantity of or contains or is made of lead metal x₂ (Entity)
cnita	x₁ (Location) is directly or vertically beneath or below or under x₂ (Location or Entity) in frame of reference x₃ (Entity)
cokcu	x₁ (Entity) soaks up or absorbs or sucks up x₂ (Entity) from x₃ (Entity) into x₄ (Entity)
condi	x₁ (Entity) is deep in extent in direction or property x₂ (ka, Property of x₁) away from reference point x₃ (Entity) by standard x₄ (si'o, Standard)
cortu	x₁ (Entity) feels pain or hurt at locus x₂ (Entity)
cpacu	x₁ (Entity) gets or procures or acquires or obtains or accepts x₂ (Entity) from source x₃ (Entity)
cpana	x₁ (Entity or nu, Event) is upon or atop or resting on or lying on upper surface of x₂ (Entity) in frame of reference x₃ (Entity)
cpare	x₁ (Entity) climbs or clambers or creeps or crawls on surface x₂ (Entity) in direction x₃ (Entity) using limbs or tools x₄ (Entity)
cpedu	x₁ (Entity) requests or asks or petitions or solicits for x₂ (Entity or nu, Event) from x₃ (Entity) in manner or form x₄ (Entity)
cpina	x₁ (Entity) is pungent or piquant or peppery or spicy or irritating to sense x₂ (Entity)
cradi	x₁ (Entity) broadcasts or transmits x₂ (Entity or Text) via station or frequency x₃ (Entity) to radio receiver x₄ (Entity)
crane	x₁ (Entity) is in front of or anterior to x₂ (Entity) which faces orientation x₃ (Entity)
creka	x₁ (Entity) is a shirt or blouse or top garment x₂ (Entity) material for upper body
crepu	x₁ (Entity) harvests or reaps or gathers crop or product or objects x₂ (Entity) from source or area x₃ (Entity)
cribe	x₁ (Organism) is a bear of species x₂ (Taxon)
crida	x₁ (Entity) is a fairy or elf or gnome or pixie or goblin mythical humanoid of mythos or religion x₂ (Entity)
crino	x₁ (Entity) is green or verdant in color
cripu	x₁ (Entity) is a bridge or span over or across x₂ (Entity) between x₃ (Entity) and x₄ (Entity)
crisa	x₁ (TimeInterval) is summer season of year x₂ (Entity or Number) at location x₃ (Location)
critu	x₁ (TimeInterval) is autumn or fall season of year x₂ (Entity or Number) at location x₃ (Location)
ctaru	x₁ (Entity) is a tide periodic expansion in x₂ (Entity) caused by x₃ (Entity)
ctebi	x₁ (Entity) is a lip or rim body-part of orifice x₂ (Entity) of body x₃ (Entity)
cteki	x₁ (Entity) is a tax or levy or duty on goods or services or event x₂ (Entity or nu, Event) levied against x₃ (Entity) by authority or collector x₄ (Entity)
ctile	x₁ (Entity) is a quantity of petroleum or oil from source x₂ (Entity)
ctino	x₁ (Entity) is a shadow or shade of object x₂ (Entity) made by light or energy source x₃ (Entity)
ctuca	x₁ (Entity) teaches audience x₂ (Entity or Group<Entity>) ideas or methods or lore x₃ (du'u, Proposition) about subjects x₄ (Entity or Set<Entity>) by method x₅ (nu, Event)
cukla	x₁ (Entity) is round or circular two-dimensional shape
cukta	x₁ (Entity) is a book containing work x₂ (Entity) by author x₃ (Entity) for audience x₄ (Entity or Group<Entity>) preserved in medium x₅ (Entity)
culno	x₁ (Entity) is full or completely filled with x₂ (Entity)
cumki	x₁ (nu, Event) is possible under conditions x₂ (nu, Event)
cumla	x₁ (Entity) is humble or modest about x₂ (Abstraction)
cunmi	x₁ (Entity) is a quantity of millet grain of species x₂ (Taxon)
cunso	x₁ (Entity) is random or fortuitous or unpredictable under conditions x₂ (nu, Event) with probability distribution x₃ (Entity)
cuntu	x₁ (nu, Event) is an affair or organized activity involving persons x₂ (Entity or Group<Entity>)
cupra	x₁ (Entity) produces product x₂ (Entity) by process x₃ (nu, Event)
curmi	x₁ (Entity) lets or permits or allows event x₂ (nu, Event) under conditions x₃ (nu, Event)
curnu	x₁ (Organism) is a worm or invertebrate animal of species x₂ (Taxon)
curve	x₁ (Entity) is pure or unadulterated or simple in property x₂ (ka, Property of x₁)
cusku	x₁ (Entity) expresses or says content x₂ (du'u, Proposition or Text) for audience x₃ (Entity) via expressive medium x₄ (Entity)
cutci	x₁ (Entity) is a shoe or boot or sandal for covering or protecting feet or hooves x₂ (Entity) made of material x₃ (Entity)
cutne	x₁ (Entity) is a chest or thorax or upper trunk body-part of x₂ (Organism)
cuxna	x₁ (Entity) chooses or selects choice x₂ (Entity) from complete set or sequence of alternatives x₃ (Set<Entity> or Sequence<Entity>)
dacru	x₁ (Entity) is a drawer or sliding compartment in structure x₂ (Entity) for contents x₃ (Entity)
dacti	x₁ (Object) is a material object enduring in space-time
dadjo	x₁ (Entity) pertains to Taoist culture or ethos or religion in aspect x₂ (ka, Property of x₁)
dakfu	x₁ (Entity) is a knife tool for cutting x₂ (Entity) with blade of material x₃ (Entity)
dakli	x₁ (Entity) is a sack or bag with contents x₂ (Entity) made of material x₃ (Entity)
damba	x₁ (Entity) fights or combats or struggles with x₂ (Entity) over issue x₃ (Abstraction)
damri	x₁ (Entity) is a drum or cymbal or gong percussion instrument with beater or actuator x₂ (Entity)
dandu	x₁ (Entity) hangs or dangles or is suspended from x₂ (Entity) by joint x₃ (Entity)
danfu	x₁ (Entity) is the answer or response or solution or reply to question or problem x₂ (Entity or du'u, Proposition)
danlu	x₁ (Organism) is an animal or creature of species x₂ (Taxon)
danmo	x₁ (Entity) is a quantity of or contains or is made of smoke or smog or air pollution from source x₂ (Entity)
danre	x₁ (Entity or Force) puts pressure on or presses or applies force to x₂ (Entity)
dansu	x₁ (Entity or Group<Entity>) dances to accompaniment or music or rhythm x₂ (Sound or Text)
danti	x₁ (Entity) is a ballistic projectile such as bullet or missile for firing by gun or launcher x₂ (Entity)
daplu	x₁ (Location) is an island or atoll or key of material or properties x₂ (Entity) in surroundings or body x₃ (Entity)
dapma	x₁ (Entity) curses or damns or condemns x₂ (Entity) to fate x₃ (nu, Event)
dargu	x₁ (Entity) is a road or highway to x₂ (Location) from x₃ (Location) with route x₄ (Entity)
darlu	x₁ (Entity) argues for stand x₂ (du'u, Proposition) against stand x₃ (du'u, Proposition)
darno	x₁ (Entity) is far or distant from x₂ (Entity) in property x₃ (ka, Relation<x₁, x₂>)
darsi	x₁ (Entity) shows audacity or boldness in behavior x₂ (nu, Event or ka, Property of x₁)
darxi	x₁ (Entity) hits or strikes or beats x₂ (Entity) with instrument or body-part x₃ (Entity) at locus x₄ (Entity)
daski	x₁ (Entity) is a pocket or pouch of or in garment or item x₂ (Entity)
dasni	x₁ (Entity) wears garment x₂ (Entity) as garment of type x₃ (ka, Property of x₁)
daspo	x₁ (nu, Event) destroys or ruins or wrecks or despoils x₂ (Entity)
dasri	x₁ (Entity) is a ribbon or tape or strip or band of material x₂ (Entity)
datka	x₁ (Organism) is a duck of species x₂ (Taxon)
datni	x₁ (du'u, Proposition) is data or information or statistics about x₂ (Entity) gathered by method x₃ (nu, Event)
decti	x₁ (Entity) is one tenth in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
degji	x₁ (Entity) is a finger or digit or toe body-part on limb or body site x₂ (Entity) of body x₃ (Entity)
dejni	x₁ (Entity) owes debt x₂ (Entity) to creditor x₃ (Entity) in return for service or loan x₄ (Entity or nu, Event)
dekpu	x₁ (Entity) is x₂ (Number) local volume units in dimension x₃ (ka, Property of x₁) by standard x₄ (si'o, Standard) with subunits x₅ (Entity)
dekto	x₁ (Entity) is ten in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
delno	x₁ (Entity) is x₂ (Number) candela in luminosity by standard x₃ (si'o, Standard)
dembi	x₁ (Entity) is a bean or pea or leguminous seed from plant x₂ (Entity)
denci	x₁ (Entity) is a tooth body-part of x₂ (Organism)
denmi	x₁ (Entity) is dense or concentrated or packed or intense in property x₂ (ka, Property of x₁) at location x₃ (Entity)
denpa	x₁ (Entity) waits or pauses for x₂ (nu, Event) at state x₃ (nu, Event) before doing or continuing x₄ (nu, Event)
dertu	x₁ (Entity) is a quantity of or contains or is made of dirt or soil or earth or ground from source x₂ (Entity) of composition x₃ (Entity)
derxi	x₁ (Entity) is a heap or pile or stack or mound or hill of materials x₂ (Entity) at location x₃ (Location)
desku	x₁ (Entity) shakes or quakes or trembles or quivers or shudders or wobbles or vibrates from force x₂ (nu, Event or Entity)
