lojbo	lojbo gi'e nu'o bredi	glico
ni'o la'e di'u na'e ba'e mutce lo ka cizra .i je nai ji'a la .alis. cu jinvi lo du'u ba'e mutce lo ka nalfadni kei fa lo nu tirna lo nu la ractu cu sezysku «lu .oi ro'a .oi ro'a mi lerci li'u» (to baku .abu ca lo nu pensi la'e di'u cu te sidbo ri lo du'u .ei ri .abu cizra .i ku'i ca ku ro ra simlu lo ka rarna toi) .i ku'i la .alis. ca lo nu la ractu ca'a lebna lo junla lo kosta daski gi'e catlu jy gi'e di'a sutra cu spaji sa'irbi'o ki'u lo nu lindi pagre lo menli be .abu fa lo si'o ri pu no roi viska lo ractu poi ponse lo kosta daski .a lo junla poi ry ke'a dy ka'e lebna .i .abu bai lo nu kucli cu bajra pagre lo foldi gi'e jersi ry gi'e .u'a viska lo nu ry canci mo'i ne'i lo barda ke ractu kevna noi cnita lo spabi'u	ni'o la'edi'u na'e ba'e mutce leka cizra .i ji'a jenai la .alis. cu jinvi ledu'u ba'e mutce leka na'e fadni vau fa lonu tirna lonu ju'a le ractu cu cusku fi lenei fe lu .oi ro'a .oi ro'a mi jai lerci li'u to baku la .alis. ca lonu ri pensi la'edi'u co'a jinvi fi ri fe ledu'u da'i pu rarna fa lonu la .alis. cu manci .i ku'i caku le fasnu cu simlu leka rarna toi .i ku'i ca lonu le ractu fu'e .uesai co'a jgari le junla le daski be le kosta fu'o gi'e catlu le junla gi'e di'a sutra kei la .alis. co'a spaji sanli ki'u lonu ke pe'a lindi pagre le menli be la .alis. fa lesi'o ri pu noroi viska lo ractu poi dasni lo kosta poi se daski .a lo junla pe lonu punji to'o ri .ije la .alis. ri'a lonu ri kucli cu bajra pagre le foldi gi'e jersi le ractu gi'e .u'a viska lonu le ractu cu canci mo'i ne'i le pa barda ke kevna pe lo'e ractu zi'e noi cnita le spati bitmu	There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, 'Oh dear! Oh dear! I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.
ni'o ba zi ku la .alis. mo'i ne'i jersi ry gi'e no roi pensi lo du'u ta'i ba'e ma kau .abu ba za'u re'u bartu	ni'o baziku la .alis. mo'i ne'i jersi le ractu gi'e no roi pensi lonu ta'i ba'e ma kau lenei ba di'a bartu	In another moment down went Alice after it, never once considering how in the world she was to get out again.
ni'o lo ractu kevna cu ve'a tubnu sirji gi'e suksa nitsalpo .i tai suksa ja'e lo nu la .alis. na zifre lo nu ze'i ji'a sai pensi lo nu sezydicra kei pu lo nu .abu ca'o farlu fo lo condi mutce jintyke'a	ni'o le kevna ve'a tubnu sirji gi'e suksa salpo fi lo cnita .i tai suksa .ija'ebo la .alis. na zifre leka ze'i su'o da pensi lonu ri zukte leka co'u klama vau pu lonu ju'a la .alis. ca'o farlu bu'u le pa mutce condi jinto	The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.
ni'o ga lo jintyke'a cu mutce lo ka condi gi .abu mutce lo ka masno lo nu farlu .i ni'i bo lo nunfarlu temci cu mutce banzu lo nu catlu lo sruri gi'e kucli lo du'u ma kau ba zi fasnu .i pa mai .abu troci lo nu catlu lo cnita gi'e facki lo du'u .abu ma kau klama .i ku'i dukse lo ka manku kei lo nu ka'e viska .i re mai .abu catlu lo mlana be lo jintyke'a gi'e facki lo du'u my culno lo se kajna tanxe jo'u lo cukta kajna .i .abu viska lo so'o cartu jo'u lo so'o pixra vu'o noi dandu lo so'o genxu .i .abu lebna lo botpi lo kajna ca lo nu lampagre .i by se tcita «lu NAJNIMRE TITYJDU li'u» gi'e ku'i .u'a nai kunti .i .abu mu'i lo nu terpa lo nu catra da cu na djica lo nu falcru lo botpi .i se ki'u bo .abu suksa lo nu punji by lo se kajna tanxe poi .abu ke'a farlu lampagre	ni'o ga le jinto cu mutce leka condi gi la .alis. cu mutce leka masno leka farlu .ini'ibo le se ranji be lenu farlu cu banzu lonu catlu lei sruri gi'e kucli ledu'u bazi fasnu .i pamai la .alis. cu troci leka catlu le cnita gi'e facki ledu'u lenei makau klama .i ku'i le manku cu zildukse lonu ka'e viska .i remai la .alis. cu catlu le mlana be le jinto gi'e facki ledu'u le mlana cu culno le se kajna be fi tu'a lo kabri a lo cukta .i la .alis. cu viska tu'a le so'o cartu .e le so'o pixra vu'o noi dandu fi le so'o genxu .i la .alis. co'a tolpu'i le pa botpi pa le kajna ca lonu lenei ne'a muvdu .i le botpi cu se tcita lu najnimre jduli li'u gi'e ku'i .u'a nai kunti .i la .alis. mu'i lonu ri terpa lonu da'i ri jai gau morsi fai su'o da cu na djica lonu ri curmi lonu le botpi cu farlu .iseki'ubo la .alis. cu sutra leka punji le botpi le pa me le se kajna ca lonu lenei ne'a farlu	Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled 'ORANGE MARMALADE', but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.
ni'o «lu uo –sei la .alis. cu pensi– mi ba lo nu farlu tai ti cu ba na xanka lo nu farlu fo lo serti .i «lu ua virnu –sei lo lanzu fi mi ba jinvi– li'u» .i .u'o mi no da cusku va'o ji'a sai lo nu mi farlu fi lo drudi be lo zdani (to sa'a la'e di'u la'a sai jetnu toi) li'u»	ni'o lu .uo to'isa'a pensi cusku fa la .alis. fi lenei toi da'i ca lonu mi ba'o farlu tai ti vau mi ba'o xanka lonu mi farlu fo lo serti .i fe lu .ua virnu li'u fa le se lanzu ba cusku co jinvi be fi mi .i .u'o mi no da cusku ba ji'asai lonu mi farlu fi lo drudi be lo zdani to'isa'a la'edi'u la'asai jetnu toi li'u	Well!' thought Alice to herself, 'after such a fall as this, I shall think nothing of tumbling down stairs! How brave they'll all think me at home! Why, I wouldn't say anything about it, even if I fell off the top of the house!' (Which was very likely true.)
ni'o mo'i ni'a mo'i ni'a mo'i ni'a .i xu lo nu farlu cu no roi mulno .i «lu mi kucli lo du'u mi ca minli li xo kau lo ni farlu –sei .abu cladu cusku– .i ia mi pu'o jibni lo midju be lo terdi .i ka'u minli li vo ki'o lo ni cnita (to sa'a la .alis. pu cilre so'o da la'e di'u lo ckule .i zu'u lo cabna ki'u lo nu no da .abu tirna cu na ba'e mutce mapti lo nu jarco lo ka djuno .i zu'u nai lo nu rapsku cu xamgu .abu lo nu cilre toi) .i ie se'i lo se minli cu jibni drani .i ku'i mi kucli lo du'u ma kau ti bernanjudri gi'e sunsicyjudri li'u» .i (to la .alis. na sai djuno lo du'u ma kau smuni ga zo bernanjudri gi zo sunsicyjudri .i ku'i .abu jinvi lo du'u melbi je banli valsi toi)	ni'o mo'i ni'a je ni'a je ni'a .i xu lenu farlu cu noroi mulno .i lu mi farlu vi'i le minli be li xo a'u to'isa'a cladu cusku fa la .alis. toi .i .ia mi pu'o jibni le midju be le terdi .i ka'u kilto leka minli li vo vau leka sraji to'isa'a .o'e dai bu'o la .alis. pu cilre so'o da la'edi'u le ckule .i zu'u le cabna ki'u lonu no da tirna la .alis. cu na ba'e mutce le ka mapti lonu jarco leka djuno .i zu'u nai lonu za'ure'u cusku cu xamgu la .alis. leka cilre. toi .i .ie se'i le se minli cu jibni drani .i ku'i .a'u ma ti bernanjudri gi'e sunsicyjudri to la .alis. na sai djuno ledu'u makau smuni ga zo bernanjudri gi zo sunsicyjudri .i ku'i lego'i cu jinvi ledu'u melbi je banli valsi toi li'u	Down, down, down. Would the fall NEVER come to an end! 'I wonder how many miles I've fallen by this time?' she said aloud. 'I must be getting somewhere near the centre of the earth. Let me see: that would be four thousand miles down, I think—' (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a VERY good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) '—yes, that's about the right distance—but then I wonder what Latitude or Longitude I've got to?' (Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)
ni'o ca ku .abu cu za'u re'u co'a co'e .i «lu mi kucli lo du'u xu kau mi ba farlu ba'e pagre lo terdi .i ba xajmi fa lo nu tolcanci lo jbini be lo prenu poi cadzu fau lo nu lo stedu cu cnita .i pe'i bu'u lo smudukti (to sa'a ca ku .abu lo nu no da tirna cu gleki ki'u lo nu lo valsi na sai drani sance toi) .i ku'i .ei mi te preti lo gugde lo du'u ma kau cmene .i «lu pau doi ninmu ti nuzlo gi'i sralo li'u» (to sa'a .abu ca lo nu tavla cu troci lo nu krorinsa .i xanri ko fa lo nu krorinsa ca lo nu farlu .i xu do snada toi) .i ny ba jinvi lo du'u mi toldjuno ke cmalu nixli kei fo lo nu mi te preti .i .ei mi na te preti .i la'a cu'i mi viska lo nu ba'o ciska lo cmene da li'u»	ni'o caku la .alis. cu za'ure'u di'a cusku .i lu .a'u mi ba farlu ba'e pagre le terdi .i ba xajmi fa lenu tolcanci ne'a lo prenu poi cadzu fau lonu le stedu be ke'a cu cnita vau fa ke'a .i lo'e tai prenu cu se cmene zo smudukti pe'i to'isa'a la .alis. ca gleki lonu no da tirna .i ki'u bo lo valsi na sai drani toi .i ku'i .ei mi retsku fi lo se gugde fe le se du'u ma kau cmene le gugde .i lu pau doi ninmu ti nuzlo gi'i sralo li'u to'isa'a .i la .alis. ca lonu ri tavla cu troci leka krorinsa .i ko se xanri leka krorinsa ca lonu do farlu .i xu do snada toi .i djuno be no da ke cmalu nixli sei le ninmu ba jinvi be ki'u lonu mi retsku .i .ei mi noroi retsku .i la'a cu'i je mi viska lo cmene noi pu'i se ciska bu'u da li'u	Presently she began again. 'I wonder if I shall fall right THROUGH the earth! How funny it'll seem to come out among the people that walk with their heads downward! The Antipathies, I think—' (she was rather glad there WAS no one listening, this time, as it didn't sound at all the right word) '—but I shall have to ask them what the name of the country is, you know. Please, Ma'am, is this New Zealand or Australia?' (and she tried to curtsey as she spoke—fancy CURTSEYING as you're falling through the air! Do you think you could manage it?) 'And what an ignorant little girl she'll think me for asking! No, it'll never do to ask: perhaps I shall see it written up somewhere.'
ni'o mo'i ni'a mo'i ni'a mo'i ni'a .i ka'e zukte no drata be la'e di'e .i se ki'u bo la .alis. za'u re'u co'a tavla .i «lu ju'o la .dinas. ca lo cabnicte ba mutce lo ka claxu mi (to sa'a la .dinas. cu mlatu toi) .i .a'o da ba morji tu'a lo dy ladru palta ca lo sanmi tcika .i doi .dinas. noi dirba mi do'u .au do mi kansa lo nu vi cnita .i .u'u no smacu cu zvati lo vacri .i ku'i do ka'e kavbu lo volratcu noi ka'u mutce lo ka simsa lo smacu .i ku'i .a'u xu lo mlatu cu citka lo volratcu li'u» .i ca ku la .alis. co'a sipydji lifri gi'e di'a senva sezysku «lu xu lo mlatu cu citka lo volratcu .i xu lo mlatu cu citka lo volratcu li'u» .e su'o roi bo «lu xu lo volratcu cu citka lo mlatu li'u» .i ku'i lo du'u porsi ma kau cu na vajni mutce ki'u lo nu .abu ka'e spuda no lo re preti .i .abu lifri lo nu pu'o sipna kei gi'e pu zi co'a senva lo nu .abu xanjaisi'u cadzu kansa la .dinas. gi'e cusku «lu ju'i doi .dinas. ko mi jungau lo jetnu .i xu do su'o roi citka lo volratcu li'u» .i ca bo suksa fa lo nu .abu lo cpana be lo derxi be lo grana jo'u lo sudga pezli mo'u farlu	ni'o mo'i ni'a je mo'i ni'a je mo'i ni'a .i ka'e zukte no drata be la'edi'e .iseki'ubo la .alis. za'ure'u co'a tavla .i lu ju'o baku la .dinas. ca le cabnicte cu mutce badri lonu mi na kansa to'isa'a la .dinas. cu mlatu toi .i .a'o le se lanzu ba morji tu'a loi ladru pe ne'i lo palta zi'e pe se va'u la .dinas. ca le cedra be lonu sanmi .i doi la .dinas. noi dirba mi vau do mi kansa .au lenu vi cnita .i .u'u no smacu cu zvati lei vacri .i ku'i do ka'e kavbu lo ka'u vofli ratcu noi ka'u mutce leka simsa le'e smacu .i ku'i .a'u xu cafne fa lonu lo'e mlatu cu citka lo'e vofli ratcu li'u .i caku la .alis. co'a lifri leka pu'o sipna .i je .abu di'a je fi'o se senva fe'u cusku fi lenei lu xu lo'e mlatu cu citka lo'e vofli ratcu .i xu lo'e mlatu cu citka lo'e vofli ratcu li'u .e su'o roi bo lu xu lo'e vofli ratcu cu citka lo'e mlatu li'u .i ku'i le se porsi cu na mutce vajni ki'u lonu la .alis. na ka'e spuda su'o le re preti .i la .alis. cu lifri leka zenba leka sipna .i je .abu co'a senva lonu ri kansa la .dinas. gi'e jgari lo xance be ri gi'e cusku lu ju'i la .dinas. ko mi skicu lo jetnu .i xu do su'o roi citka lo vofli ratcu li'u .i ca bo sei sance be fa lo simsa zo tamtam la .alis. co'i klama lo cpana be lo derxi be lo grana jo'u lo sudga pezli .i je lenu farlu cu mulno	Down, down, down. There was nothing else to do, so Alice soon began talking again. 'Dinah'll miss me very much to-night, I should think!' (Dinah was the cat.) 'I hope they'll remember her saucer of milk at tea-time. Dinah my dear! I wish you were down here with me! There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know. But do cats eat bats, I wonder?' And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, 'Do cats eat bats? Do cats eat bats?' and sometimes, 'Do bats eat cats?' for, you see, as she couldn't answer either question, it didn't much matter which way she put it. She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, 'Now, Dinah, tell me the truth: did you ever eat a bat?' when suddenly, thump! thump! down she came upon a heap of sticks and dry leaves, and the fall was over.
Ni'o La Alis no va'e lo ka se xrani vau gi'e zi sanli fi lo jamfu gi'e catlu lo gapru noi ku'i manku mulno. I je crane La Alis fa lo drata ke clani vorme. I La Blabi Ractu za'o se viska gi'e sutra lo ka litru le vorme. I ei La Alis na denpa. I La Alis cu klama tai tu'a lo brife gi'e ja'a ru'e snada lo ka tirna lo nu le ractu cu cusku lu oi doi lo mi kerlo jo'u zbikre ca'o mutce lerci binxo li'u. I Abu jibni trixe Ry ca lo nu carna lo kojna. I ku'i Ry ca na za'o se viska. I Abu facki lo du'u ri zvati lo clani je dziseldru kumfa noi se gusni fi lo se linji noi dandu lo drudi.	ni'o la .alis. no va'e leka se xrani kei gi'e bazi sanli fi le jamfu gi'e semu'ibo catlu lei gapru noi ku'i mulno leka manku .ije crane la .alis. fa le pa drata ke clani vorme .i le blabi ractu za'o se viska gi'e sutra leka litru le vorme .i .ei la .alis. na denpa .i la .alis. cu klama tai tu'a lo brife gi'e ge jai cabna gi snada lo ka tirna kei vau lonu le ractu cu cusku lu .oi doi le kerlo .e le gaskre vu'o pe mi co'a mutce leka lerci li'u .i la .alis. cu jibni trixe le ractu ca lonu ri carna ru'u le kojna .i ku'i le ractu ca ba'o se viska .i la .alis. cu facki ledu'u ri zvati le pa kumfa noi clani leka pinta kei gi'e tordu leka sraji zi'e noi se gusni fi le se linji noi dandu le drudi	Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it. There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, 'Oh my ears and whiskers, how late it's getting!' She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.
ni'o lo kumfa cu se sruri lo so'i vorme .i ku'i ro ri cu stela ganlo .i la .alis. ca lo nu ba'o litru lo pa moi mlana .e lo drata gi'e troci tu'a ro vorme cu badri cadzu bu'u lo midju gi'e kucli lo du'u ta'i ma kau .abu ba za'u re'u bartu	ni'o le kumfa cu se sruri lei so'i vorme .i ku'i ro me ri cu se stela ganlo .i la .alis. ca lonu ri ba'o ku litru le pamoi be le'i mlana .e le drata mlana gi'e troci tu'a ro vorme cu badri cadzu bu'u le midju gi'e kucli ledu'u ta'i makau lenei ba za'ure'u bartu	There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.
ni'o ba zi ku .abu penmi lo cmalu ke cibyseltuple jubme be lo sligu blaci .i cpana jy fa po'o lo cmatce ke solji ckiku .i .abu cu pa moi jinvi lo du'u cy ckiku pa lo stela be lo kumfa vorme .i ku'i ui nai ga lo stela cu dukse lo ka barda gi lo ckiku cu dukse lo ka cmalu .i se ju cy ka'e kargau no ra .i ku'i .abu ca lo nu re moi sruli'u cu penmi lo dizlo murta noi .abu na pu sanji ke'a .i my murta lo cmalu vorme noi centre li ji'i vo no .i .abu troci lo nu co'e lo cmalu ke solji ckiku lo stela .i ui sai mapti	ni'o fi'o suksa la .alis. cu penmi le cmalu jubme noi se tuple ci da gi'e marji lo sligu blaci .i cpana le jubme fa ke po'o le cmacma ke solji ckiku .i pare'uku la .alis. cu jinvi ledu'u le ckiku cu ckiku pa stela be le vorme pe le kumfa .i ku'i .uinai ro da poi me le stela zo'u ga da du'e va'e leka barda gi le ckiku cu du'e va'e leka cmalu .iseju le ckiku fai no vorme ka'e jai gau kalri .i ku'i la .alis. ca lenu ri rere'u ru'u litru cu penmi le dizlo murta noi la .alis. pu nu'o sanji .i le murta cu murta le cmalu vorme noi degygutci li ji'i pa mu .i la .alis. cu troci leka co'e le cmalu ke solji ckiku le stela .ije .uisai mapti	Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of the hall; but, alas! either the locks were too large, or the key was too small, but at any rate it would not open any of them. However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!
ni'o la .alis. cu kargau lo vrogai gi'e facki lo du'u vy se jersi lo cmalu vorme noi na bramau lo ratcu kevna .i .abu cidni sanli gi'e catlu lo se vorme noi mlerai lo purdi poi su'o roi se viska .i .a'o sai barkla lo manku kumfa gi'e cadzu jbini lo va carmi xrula zdani jo'u lo va lenku je'erjinto .i ku'i .abu na ka'e gregau lo stedu ji'a sai lo vorme .i «lu lo stedu be mi va'o ji'a sai lo nu ka'e pagre –sei la .alis. uu cu pensi– cu tolmutce lo ka se pilno kei se cau lo mi janco .i .au mi ka'e se polje tai tu'a lo darvistci .i pe'i mi ka'e go'i va'o lo nu da'i mi djuno lo du'u mi co'a go'i ta'i ma kau li'u» .i lo pu zi nalfadni fasnu cu tai so'i mei ja'e lo nu la .alis. co'a jinvi lo du'u so'u sai da ca'a nalcumki	ni'o la .alis. cu jai gau kalri fai le vorme gi'e zgana lenu ri vorme le cmalu pluta voi na zmadu lo'e kevna pe lo ratcu leka barda .i .uo la .alis. co'a sanli fi le cidni gi'e catlu fa'a le fanmo be le pluta be'o noi .ue traji leka melbi vau lo'i purdi poi pu'i su'oroi viska lu'a ke'a .i caku la .alis. cu djica lonu ri co'a bartu le manku kumfa gi'e cadzu jbini le va zdani be le carmi xrula be'o jo'u le va lenku ke jetce jinto .i ku'i je la .alis. na ka'e jai zu'e pagre fai le ji'a stedu le kevna .i lu da'i lonu le .ianai mu'anai stedu be mi ka'e pagre to'isa'a se pensi la .uu .alis. toi cu so'u va'e leka prali vau fau lonu na co'e le janco be mi .i .au mi ne tai le'e darvistci ka'e se polje .i pe'i mi da'i ka'e go'i fau lonu mi djuno ledu'u mi ta'i ma kau co'a go'i li'u .i za'a dai so'i cizra pu ze'a ca fasnu .i ja'e bo la .alis. co'a jinvi ledu'u su'e so'u fasnu naku ka'e ku cumki	Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw. How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; 'and even if my head would go through,' thought poor Alice, 'it would be of very little use without my shoulders. Oh, how I wish I could shut up like a telescope! I think I could, if I only knew how to begin.' For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.
ni'o simlu lo ka na prali fi lo nu denpa fi tu'a lo cmalu vorme .i se ki'u bo .abu xruti lo jubme gi'e xadba pacna lo nu tolcri lo drata ckiku .a do'a nai lo cukta co javni be lo nu ta'i ma kau polje lo prenu tai tu'a lo darvistci .i ca lo ca krefu .abu tolcri lo cmalu botpi (to «lu noi ju'o pu na zvati ti –sei la .alis. cu cusku– li'u» toi) .i sruri lo botpi cnebo fa lo pelji tcita noi lo valsi po'u «lu KO MI PINXE li'u» cu melbi prina ke'a se pi'o lo barda lerfu	ni'o simlu leka na prali fi lonu denpa ne'a le cmalu vorme .iseki'ubo la .alis. di'a klama le jubme fau lonu ri so'o va'e leka pacna lonu ri zvafa'i lo drata ckiku .a lo do'anai cukta be lo javni be lo tadji be lonu polje lo'e remna ne tai lo'e darvistci .i ca le ca krefu la .alis. cu zgana le cmalu botpi noi cpana le jubme (to lu ju'o pu na zvati ti li'u se cusku la .alis. toi) .i sruri le cnebo be le botpi fa le pa pelji tcita noi le valsi voi du lu ko mi pinxe cu ckaji leka le pixra be ce'u cu melbi prina ke'a gi'e me vu'i le barda lerfu	There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, ('which certainly was not here before,' said Alice,) and round the neck of the bottle was a paper label, with the words 'DRINK ME' beautifully printed on it in large letters.
