jbovla	lojbo	glico
akti	gau ko ta to'e akti	Turn that off.
akti	gau ko ta akti	Turn it on.
akti	mi ba jai gau akti fai le minji	I will get the machine running.
akti	le pa zarci ca akti	The shop is open.
akti	le minji ca akti le ka cupra le purmo	The machine is now in operation producing flour.
anka	le mi'u verba pu jai gau spofu le anka be le no'a	The child broke his thigh.
ankabuta	xu do terpa tu'a le ankabuta	Are you afraid of the spider?
arte	ti noi arte cu pu jai rinka so'i nu darlu	There've been a lot of debates caused by this artwork.
arxokuna	pa arxokuna cu zvati le mi kumfa pe le'e nu jukpa	There's a raccoon in my kitchen.
asna	ra co'a se asna pa jai ckape vi le barda fenra	He took a dangerous pose near the abyss.
au	.au .e'o tcati	I'd like some tea, please.
au	au cu'i do jai gau bredi fai le cidja	You prepare the food or not ... I don't have any preferences.
au	au nai do cliva	I don't want you to leave.
au	au mi stali bu'u le zdani gi'e nai kansa le mi'u nakni	I'd rather stay at home than come with him.
au	.i .au mi sipna	I want to sleep.
ba	mi ba bevri	I will bring it.
ba	le'e snuti ba fasnu	Accidents will happen.
ba	mi pu na ku kufra ba le nu ra cinba mi	I felt uncomfortable after she kissed me.
ba'a	ba'a ra ba zi mo'u zukte	He ought to finish soon.
ba'a	ba'a le mamta be mi ca zvati le mi'u zdani	I expect my mother to be at home now.
ba'a	ba'a le mi'u pendo be mi pu jinga	I expect my friend to have won.
ba'a	ba'a cu'i le se klani be le sovda cu lacri le tcika be le nu le jipci co'a co'e	In my experience, the number of eggs depends on when a hen starts.
ba'a	ba'a nai do na nelci le laldo prenu	As I remember, you don't like old people.
ba'e	.i mi djuno le du'u ma kau darxi ba'e la .alis.	I know who hit Alice specifically.
ba'e	.i vajni ba'e mi	It's important to me (!)
ba'o	mi ba'o citka pa plise	I have eaten an apple.
ba'o	mi'o ba'o tavla	We are done talking.
ba'o	mi ba'o xagji	I'm no longer hungry.
ba'o	.i ca ku nu'i ge ba'o ku su'o da gi ca'o nai ku su'o de prami do	No one loves you anymore.
ba'u	do no ba'u roi jimpe fi mi	You never understand me.
ba'u	le mi'u pa tadni pu no ba'u cu'i roi jimpe zo'e noi mi ciksi fo ke'a	The student literally never understood my explanations.
ba'u	le mi'u terdi cu barda ba'u nai	The Earth is big, to put it mildly.
bacru	ko na bacru su'o cladu	Don't talk loud.
badna	ma jdima lei badna ku poi ki'ogra	How much is the kilo of bananas?
badri	mi pu badri le nu mi pu e'ande ra le ka zukte	I was sad that I had allowed her to do it.
bai	mi pu stali bu'u le zdani bai le ka bilma	I stayed at home forced by my illness.
bajra	mi bajra vi'i le mitre be li ci ki'o	I ran three thousands meters.
bajra	xu do su'o roi senva le nu do bajra lo jarki grana lei xance be do	Have you ever dreamt of running on your hands on a narrow rod?
bakfu	ti bakfu le se posydu'a le dasri	This is a gift packed with a ribbon into a bundle.
bakni	mu bakni cu zvati le purdi	There are five cows in the garden.
bakri	mi xebni le'e bakri i ki'u bo ri'a tu'a ri le'e purmo cu snipa le xance	I hate chalk. It leaves powder on hands.
baktu	ko bevri le baktu be lo festi fo le dinju	Take the pail of bucket out of the house.
balji	ra pu sombo pa balji be pa xrula le purdi	She planted a flower bulb in the garden.
balnema	lei litru ca'o zgana le melbi nu muvdu fa le balnema	The tourists are watching the graceful movement of a baleen whale.
balni	mi cpana le balni be le zdani be mi	I am on the balcony of my home.
balni	le jvinu be fi le balni cu melbi	The view from the balcony is beautiful.
balre	le balre be le dakfu cu kinli	The blade of the knife is sharp.
balvi	la kevin co'u zvati .i je le nu go'i cu pu balvi le nu ju'a mi mo'u klama le xotli	Kevin left, and that happened after my arrival to the hotel.
bambola	le nixli cu nelci tu noi bambola	The girl likes that doll.
bambu	le bambu cu torni le nu brife	The bamboo bends before the wind.
bancu	pa le lalxu cu bancu le tcadu	There is a lake beyond the city.
bancu	le tai fasnu cu bancu le se kakne be mi	Such things are beyond my powers.
bancu	le zdani cu bancu le vu tricu ti le ka darno ti	The house is beyond those trees from here in how far it is from here.
bandu	le nu brife e le nu carvi cu bandu le dinju le nu ri jelca	Wind and rain protect the house from burning.
banfi	lo'e remna cu simsa lo'e banfi le ka se tarmi	Humans look like amphibians.
bangu	.i xu do se bangu la .lojban.	Do you speak Lojban?
bangu	ra tavla fo le bangu be fi lo mabla	He used foul language.
banli	le jvinu be le xamsi bei le kumfa be le xotli cu banli le ka se tarmi	The view of the sea from the hotel room is magnificent i its form.
banro	le spati ca'o banro le tricu le se katna jimca	The plant is growing into a tree from a cut off branch.
banxa	ti banxa le gugde le ka canja fo lo kagni i je to'u ti banxa fi tu'a lo kagni	This bank owned by state works with companies, in short, this is a commercial bank.
bapli	le tcima pu bapli le nu ra stali le zdani	The violent weather forced him to stay at home.
bapli	le snuti pu bapli le nu ra zenba le ka jundi	The accident convinced him to be more careful.
barda	le tanxe pu barda le ka se canlu xo kau da	The box occupied large space.
barda	le nu penmi cu pu barda le ka se ditcu	The meeting lasted for a large amount of time.
bargu	lei tricu cu bargu le dargu	The trees form an arch over the road.
barja	ti barja lo'e ckafi lo'e litru	This is a bar serving coffee to tourists.
barna	le barna be le kamju cu tcita le dargu tu'a lo flalu	The mark on the pillar is a road sign.
bartu	ei mi klama lo bartu be le zdani	I should go out.
basna	mi pu basna le nu le nu ca'o gunka cu vajni vau le ka cladu cusku	I emphasized the importance of continuing to work by saying it aloud.
basti	ma ba basti do le ka gunka	Who will replace you?
batci	pu ku pa gerku cu batci le tuple be mi	A dog bit my leg.
batke	ra pu ru'i jgari pa batke be le kosta pe le nei	He was holding a button of his coat.
bau	mi tavla bau la lojban	I talk in Lojban language.
bavlamdei	ko klama ca le bavlamdei	Come tomorrow!
bavlamdei	pu ku ca le bavlamdei be le nu mi mo'u klama vau mi co'a ganse lo cizra	On the day following my arrival I started feeling something strange.
bavmi	lo'e bavmi cu ralju le'i se cupra be bu'u	Barley is the main product here.
be	.i le tixnu be mi cu melbi	My daughter is pretty.
be'e	be'e le nobli do mulno xu	Pardon, Sir/Madam, are you finished?
be'e	be'e le mi'u pendo	Hello, are you still there, friend?
be'i	ti me le se dunda ne be'i la kevin	This a present sent by Kevin.
be'u	u'i be'u ko skicu le pa drata lisri	Hehe, not that funny, tell me another story.
be'u	ui be'u cu'i do bevri le mi'u re verba mlatu noi mi pu djica	Yay, you brought the two kittens whom I wanted.
be'u	u'i be'u nai ba'a mi ca farlu le loldi	Ha-ha-ha, so funny, I can't laugh anymore, I might fall down to the floor now.
bebna	ko na jai zu'e bebna le ka so'i roi ku cusku da	Don't be silly in repeating the same.
bekpi	mi ca'o cortu le ka se bekpi	My back still hurts.
bemro	mi nelci le bemro tumla	I like North American lands.
bende	mi cmima le'i stati prenu ku noi se bende pa da la robin le nu ro cmima be le se nei cu tadni la lojban	I am a member of a team of smart people led by Robin and learning Lojban.
benji	mi ba benji pa xatra do fu tu'a la internet fo le skami pe le zdani be mi	I will send you a letter via the internet from my home computer.
benji	le gunka pu benji le sance sinxa le drata gunka le galtu le vacri	A worker sent a sound signal to another worker from the above over the air.
bersa	mi se bersa re da	I have two sons.
berti	le za'u purdi be fi lo grute cu berti le tcadu le farna be le'e maksi jesni	Fruit gardens are to the north of the city in terms of magnetic needle direction.
besna	ro remna su'o da se besna	All humans have brains.
betfu	mi cortu le ka se betfu	My belly hurts.
betka	ti na ciblu gi'e ja'a betka	It's not blood. It's beet.
betri	pu betri ra fa le nu le bersa be ra co'a morsi	It was a tragedy for him to lose his only son.
bevri	mi pu bevri le pa patxu be lo nudle fu'e ta'o fi le purdi fo le slestu be le nu jukpa vau fu le rokci dargu fu'o	I carried a bowl of noodles (to the garden from the kitchen via a rocky road).
bevri	la kevin pu bevri le pa gerku le zdani	Kevin brought a dog home.
bevri	mi pu bevri le pa fonxa fo le pa daski	I took a phone out of a pocket.
bi	bi penbi cu se pilno mi	There are 8 pens that I use.
bi'i	mi sanli pa dinju bi'i pa rirxe	I am standing between a house and a river.
bi'o	mi gunka de'i li cy bi bi'o li cy pa ze	I work from 8 to 17 o'clock.
bi'orka	le pezli be le bi'orka co'a pelxu	The birch leaves have turned yellow.
bi'u	le bi'u nai nixli pu klama pa panka i bi'u le mi'u nixli ca tavla pa nanla bu'u le mi'u panka	That girl (mentioned earlier), she went to a park. What is new is that she is talking to a boy there.
bidju	pu ku mu bidju ti zvati	There were five pebbles here.
bifce	le bifce cu vofli vi lei xrula	Bees are flying near the flowers.
bikla	le carvi pu bikla ta'i le nu ri janli le canko	The rain whipped against the window.
bilga	mi bilga le ka bevri ti voi cukta vau le ponse ca le cabdei vau le ka pu nupre	I must take this book to the owner today fulfilling my earlier promise.
bilma	ra pu terpa le nu le nei co'a bilma fi la zukam	She was afraid to catch a cold.
bilma	mi bilma fi le influ'enza fe le ka cortu le ka se denci	I've got the flu and my teeth hurt.
binra	le kagni cu binra le sportivo lo'e xrani le ka pleji le jdini	The company insures the sportsman against injuries by paying money as an insurance.
binxo	le tsiju ba zi binxo le ka tricu	The seed soon will turn into a tree.
birje	ti birje lo'e badna	This is banana beer.
birka	ra pu gasnu le torni be le birka be mi	She twisted my arm.
birti	mi birti le du'u do ba snada	I am sure you will succeed.
birti	xu do pu'i jai gau birti fai lei rirni be do le du'u le nu litru cu na ckape	Have you persuaded your parents that the journey wouldn't be dangerous?
bisli	au mi viska su'o bisli cmana	I'd like to see ice mountains.
bitmu	le bitmu be le purdi bei le foldi cu rotsu	The fence between the garden and the field is thick.
bitmu	pa ti voi bitmu le malsi cu sinxa le pu nu le gugde cu vlipa	One of these fences of the temple is a sign of the past power of the country.
bitni	le vreji cu bitni li pa ki'o	The file is 1000 bit.
blabi	lei denci be ra pu blabi	Her teeth were white.
blaci	le kabri cu blaci lo blanu	The cup is made of blue glass.
blanu	le tsani cu blanu ca le cabdei	The sky is blue today.
blato	lo'e blato cu mipri le nei ca lo'e donri	Cockroaches hide themselves during daytime.
bliku	le dinju cu te zbasu le bliku be lo rokci	The house is built of stone blocks.
blondine	le blondine nixli pu mo'u klama te zu'e le nu vo'a penmi do	A girl with blond hair arrived to meet you.
bloti	mi pu se marce le bloti be lo'e prenu bei le te falnu	I was a passenger on a sailboat for carrying people.
bo	mi pu penmi le pa drata merko bo jbopre	I met another American Lojbanist.
bo	ko catlu le barda se kanla melbi	Look at the beauty with big eyes.
bo	ko catlu le barda se kanla bo melbi	Look at the big beauty-with-eyes.
bo	mi pu plipe i ja'e bo mi pu kuspe le drudi	I jumped so that I reached the roof.
bo	la tom pu bilma gi'e ja'e bo pu na kakne le ka klama	Tom was ill and that's why couldn't come.
bo	mi e ba bo do klama le nenri	First I, then you enter.
boi	mi pu citka ci boi ro moi jbari	I ate three last berries.
bolci	pu ku bu'u le flecu le bolci fe'e co'u gunro	The ball rolled into the stream.
bombila	le bombila cu spofu	The light bulb is broken.
bongu	mi pu jai gau janli fai le grana le bongu be le ka sarji le tuple be mi	I hit my leg bone with a stick.
boske	ti boske le clani tricu joi le kliti dertu	This is a forest of long trees and clay loams.
botpi	ti botpi le'e birje le blaci le pa xunre	This is a bottle of beer made of glass and having a red lid.
boxfo	mi ba bevri le pa boxfo do	I will bring you a blanket.
boxna	pu ku pa da barda boxna le xamsi	There was a big wave in the sea.
bradi	le tance be mi mi bradi le nu mi troci le ka pilno le nei le ka bacru lo lojbo valsi---	My tongue is my enemy when I'm trying to use it to utter Lojban words.
bramlatu	ju'o cu'i le bramlatu cu se zdani le mi'u tutra	Big cats may inhabit this area.
bratu	le nu le bratu be loi snime cu carvi cu pu vlile	The precipitation of sleet was violent.
brazo	le finti cu brazo le ka se bangu	The author is Brazilian in their language.
bredi	mi bredi le ka kansa do le ka cadzu	I am ready to walk with you.
bridi	le du'u mi klama do ti cu bridi le ka klama vau mi ce'o do ce'o ti	That I come to you from here is a relationship between the property of coming and the sequence of me, you and this place.
brife	oi le brife be lo berti se la'u li du'e carmi	Oh, the northern wind is too strong.
briju	ti briju le mikce le tcadu	This is the doctor's city office.
brisni	lu ma nuzba li'u brisni	"What's up?" is a grammatical clause.
brisni	lu mi dunda ti do cu brisni zo dunda zo mi ce'o zo ti ce'o zo do	"I give this to you." is a clause with the main verb "give" that has sequential places "I","this","you".
broda	.i mi pu klama cei broda le zarci i ba bo mi ze'a sipna .i xu do ba broda	I went to the market, and then I slept. Will you go to the market?
brunete	doi la alis ma traji le ka do nelci vau fo lo'e blondine ce lo'e brunete	Alice, whom do you like more, blondes or brunets?
bu	mi pilno la'e me'o vy bu vy bu vy bu	I use WWW.
bu	la alis pu klama pa zarci i je ku'i mi na djuno le du'u a bu pu te vecnu ma kau	Alice went to a store, but I don't know what A (Alice) bought.
bu'a	fau le nu do djica le nu bu'a cu bu'a gau ko	If there is something you want to happen, make it happen.
bu'e	su'o bu'a su'o bu'e su'o bu'i zo'u le nu bu'a cu ka'e se jalge le nu bu'e ca le nu bu'i	There is an event X, an event Y and event Z such that X can lead to Y during Z.
bu'i	su'o bu'a su'o bu'e su'o bu'i zo'u le nu bu'a cu ka'e se jalge le nu bu'e ca le nu bu'i	There is an event X, an event Y and event Z such that X can lead to Y during Z.
bu'o	za'o ku do klama mo'u ui bu'o	At last you arrived, and I'm happy now!
bu'o	ua nai bu'o cu'i la alis cu simsa fi le ka na zvati	What's going on, Alice is also not present.
bu'o	u'i bu'o nai mi di'a gunka	Enough laughing, I'm back to work.
bu'u	mi xabju ze'a le nanca be li ci le bu'u dinju	I've been living for three years in this house.
bu'u	le mi'u verba ca sipna bu'u le mi'u kumfa	The child is now sleeping in the room.
bukpu	le bukpu cu cpana le jubme	The cloth is on the table.
bumru	le xamsi cu bumru loi lenku dirgo	The sea is covered by a fog of cold drops.
bunda	ti voi tanxe cu bunda li pa no le ka glico	This box is 10 Engish pounds in weight.
bunre	le bunre gerku pu zvafa'i le pa blabi ractu	The brown dog found a white rabbit.
burcu	ti burcu lo'e nu punji lo cinta vau lei cmalu	This is a brush for painting with small bristles.
burna	xu do burna le nu do pilno la lojban	Are you disconcerted of using Lojban?
ca	.i lei rirni pu zvati le barja .i ca bo lei verba cu kansa no da bu'u le zdani	The parents were in the bar; meanwhile the children were alone at home.
ca	.i ko smaji ca le nu mi tavla	Be quite while I'm talking.
ca	ca le nu do steba le nu do kansa no da zo'u ko morji le se gleki be mi'o mokca	When you feel frustrated about being lonely, remember the happy moments we had together.
ca	mi pu prami do i mi ca prami do i mi ba prami do	I loved you. I love you. I will love you.
ca	le pendo be mi be'o joi mi pu mo'u klama le pa cizra stuzi ca le nu no lu'a vo'a sanji le du'u le stuzi ka'e jai ckape	My friend and I arrived at a strange place lacking the awareness that it can be dangerous.
ca'a	mi ca'a limna	I'm actually swimming.
ca'a	la kevin ca ca'a jatna	Kevin is now acting as a captain.
ca'e	ca'e do zutse va	You sit there!
ca'e	ca'e do klama ka'ai mi	You go with me!
ca'e	ca'e le se gunka cu mulno	The work is hereby done.
ca'e	ca'e gusni	Let there be light!
ca'o	le verba ca'o citka	The child is eating.
ca'u	le snime cu mitre li pa ca'u le vorme pe do	There is snow one meter thick in front of your door.
cabdei	le cabdei cu detri li jy dy ze	Today is Sunday.
cabna	so'i roi ku lo xamgu fasnu cu cabna lo xlali fasnu	Good events often happen at the same time as bad events.
cabra	ti cabra le ka zalvi le gurni vau le xance	This is a hand-controlled machine for grinding grain.
cacra	lo'e nicte be le cabna bei ti cu cacra li mu	At this time and this place, night is 5 hours long.
cadzu	pu ku ca le nu do mo'u klama vau mi ru'i cadzu le srasu le jamfu	When you arrived I was walking on the grass on foot.
cafne	.i mutce cafne fa le nu mi vitke le patfu be mi	It's quite often that I visit my father.
cagna	ti cagna le pu se zvati be le pa denci le moklu be ra le nu le mikce mo'u vimcu denci bu	This is a wound in his mouth at the place where there was a tooth and caused by removal of the tooth by a doctor.
cai	oi cai	Ah, pain, I'm going to lose consciousness now!!!
cakla	mi nelci lo'e blabi cakla ne se mau lo'e manku cakla	I prefer white chocolate to dark chocolate.
calku	mi nitcu tu'a su'o calku be lo stedu	I need a head helmet.
canci	do canci le jvinu be fi mi	You disappeared from my view.
cange	ti cange le barda tumla le mensi be mi le'e vanjba	This is a farm covering a large parcel of land; it's kept by my sister and produces grapes.
canja	e'u mi canja fo do fe tu'a le bidju le ka gasnu lo nu mi zgana le tatru be do	Let me give you these beads in exchange that you show me your breast.
canko	le canko be le karce cu kalri	The window in the car is open.
canlu	le canlu be le purdi cu barda	The garden occupies a large space.
canpa	ti canpa lo'e dertu ji lo'e snime	Is this spade for digging ground or snow?
canre	mi pu penmi le i'u nai prina be le canre bei su'o jamfu	I found some footprints in the sand.
canre	mi pu se nandu le ka cadzu lei canre poi gunma lo cmalu rokci	It was hard for me to walk on the sand made of small stones.
canti	ro da poi remna zo'u kanpe le nu ba zi le nu da co'a cifnu vau loi jurme co'a xabju lo canti be da	For every human it is expected that soon after he is born bacteria colonize his intestines.
carce	mi sazri le pa carce be lo'e karce	I am driving a car transporter.
carmi	ti voi bombila cu carmi le ka te gusni vau mi	This light bulb gives a light bright to me.
carna	ko carna fi le pritu	Turn to the right.
carna	ko carna fi le pritu	Turn right.
carna	i ko carna le kojna  le pritu	Turn right around the corner.
carna	ro da poi mokca le xislu zo'u da go nai carna le jendu le pritu be ri bei mi gi'e galtu be mi bei le jendu gi carna le jendu le zunle be ri bei mi gi'e dizlo be mi bei le jendu	The wheel was rotating around the rod counterclockwise when viewed by me.
carna	le xislu pu ca'o ca'a carna le grana	The wheel was rotating around the rod.
cartu	ti cartu le fange tcadu le dargu	This is a map showing roads of an alien city.
cartu	gau ko mi zgana le cartu be le nu'o se zvati be mi'o	Show me a map of places where you and I haven't been.
carvi	ca ca'o carvi	It's raining.
carvi	le snime pu carmi carvi le lalxu pa barda dilnu	It was snowing hard onto the lake from a large cloud.
casnu	ra joi mi pu casnu le pa arte	She and I discussed a piece of art.
catke	le nixli pu catke le nanla le stedu be ri	The girl pushed the boy on his head.
catlu	ko catlu mi	Look at me.
catni	mi co'a catni le ka cange ti ce'u vau le du'u le patfu be mi cu curmi le nu nei	The authority to be a farmer on this land has been given to me by my father.
catra	ra kakne le ka catra re cipni le ka pilno pa rokci	He can kill two birds with one stone.
caucni	mi caucni do	I miss you.
caxno	ti voi lalxu cu caxno le ka sraji vau le sefta be vo'a	This lake is shallow in separating its bottom from its surface.
ce'i	le ninmu cu ji'i mu no ce'i si'ei le remna	Approximately 50% of humans are women.
ce'o	li pa ce'o li re ce'o li ci cu porsi	1,2,3 is a sequence.
ce'u	la alis la an cu zmadu le ka mi nelci ce'u	I like Alice more than Ann.
cecla	ti cecla lo'e fagri	This is a fire gun.
cecmu	le pa cecmu be lo cipni mo'u muvdu le bu'u tcadu	A colony of birds moved to this city.
cedra	le cabna cu cedra le nu pilno le skami	These days are the era of using computers.
cei	mi ba klama cei broda le zarci i au do broda	I will go to the store. I'd like you go there too.
cei	le'e verba mlatu cei broda zo'u mi nelci le'e broda poi blabi gi'e ku'i na nelci le'e broda poi xekri	As for kittens I like white ones but don't like black ones.
cenba	do cenba le ka cpedu ma kau vau le barda	Your demands vary to much degree.
cenba	ro linji ka'e cenba le ka clani ma kau vau ro da	Any line segment can be changed in its length to any degree.
censa	le bu'u tcadu cu censa ro prenu pe vi	This city is holy to all people here.
centero	ti noi tcadu cu centero le te gugde	This city is in the center of the country.
centi	le insekto cu centi le ka ce'u mitre li xo kau vau le ka ce'u clani	The insect is 1 centimeter long.
cerda	mi cerda le ka ponse le dinju vau le patfu be mi su'o se djica be ri	I inherited the house from my father according to his will.
cermurse	mi ba klama le boske ca le cermurse be le bavlamdei bei ti	I will go to forest tomorrow at dawn at this place.
cerni	cerni coi	Good morning!
cerni	ca cerni pa cnino la .nipon.	It is now the morning of a new day in Japan.
certu--	fau ei ro da mi se zu'e se marvele le nu le mi'u prenu se la'u li xo kau certu le ka limna	I cannot but wonder at his skill in swimming.
cevni	do cevni mi le nu carvi	You are a god of rain for me.
cfari	de'i li cy xo le se tigni cu cfari	At what time does the performance begin?
cfika	la'e lu la lunra cu kusru turni li'u cfika le logji bangu	'The Moon is a harsh mistress' is a fiction about logical languages.
cfila	mi se cfila le nu le drata cu xanka	I have my faults making other nervous.
cfine	mi pu setca pa cfine le loldi te zu'e le nu le mi'u vorme co'a kalri	I drove a wedge into the floor so that the door was open.
cfipu	zo zabna jai cfipu mi le ka se smuni	To me {zabna} is confusing in meaning.
cfipu	do je'a xu se cfipu le ka cuxna le ka zukte ma kau	Are you really confused of deciding what to do?
ci	ci delfinu ca limna vi le korbi	There are three dolphins swimming near the shore.
ci'angulo	ma se sinxa ti noi ci'angulo	What does this triangle signify?
ci'e	ci'e la internet le vrici prenu ka'e jikca zu'ai	In the system of the internet, various people can socialize with each other.
ci'erkei	xu do ci'erkei la fudbol	Do you play soccer?
ci'i	ci'i da te cuxna	There is an infinite number of possibilities.
ci'i	ci'i da te cuxna fi le pa prenu i je ci'i re da te cuxna fi le re prenu	There is an infinite number of possibilities for one man, and twice as many for two men.
cibjmagutci	le foldi cu clani le ka cibjmagutci li pa re no le ka glico	The field is 120 yards in length.
ciblu	le ciblu be mi cu klesi li a bu ma'u bu	My blood type is A positive.
cicna	le vanci tsani co'a cicna	The evening sky became turquoise.
cidja	le rectu na cidja le xirma	Meat is not a food for horses.
cidja	mi nelci le jungo cidja	I like Chinese food.
cidni	le cidni be le tuple be mi cu se xrani	My knee is injured.
cidro	le cidro cu traji linto se ratni	Hydrogen is the lightest element.
cifnu	xu le mi'u cifnu xa'o jimpe le lojbo se smusku	Does the infant understand Lojban yet?
cigla	ti cigla le xasne le remna	This human gland secrets sweat.
cikna	xu su'o do cikna	Is any of you awake?
cikna	mi pu co'a clira cikna	I got up early.
cikna	ko jai gau cikna fai mi de'i li cy bi	Wake me up at 8.
cikre	mi cikre le mi'u spofu stizu le ka ka'e se zutse	I repair the chair so that one can sit on it.
ciksi	mi pu ciksi fi le mi'u ctuca fe le nu mi na zvati le nu penmi vau fo le nu mi na pu djuno le du'u sarcu fa le nu mi zvati nu bu	I explained to the teacher my absence at the meeting that I didn't know that I should've been there.
ciksi	le gidva pu ciksi fi mi'a fe le nu mi'a cliva ca le lerci vau le nu le aftobuso nu'o mo'u klama	The guide explained to us that we would leave later in that the bus hadn't yet arrived.
cilce	ti noi foldi cu cilce	This field is untamed.
cilce	ra sazri pa cilce xirma	He rides an untamed horse.
cilmo	ko lumci le mi'u canko se pi'o le cilmo bukpu	Clean the window with a damp cloth.
cilre	mi cilre fi la .lojban.	I learn Lojban.
cilre	mi pu cilre le du'u le remna na smani	I learnt that humans are not monkeys.
cilre	mi tcidu mu'i le nu mi cilre	I read in order to learn.
cilre	mi so'i da pu'i cilre fo le nu mi pu zgana le cipni	I learned a lot from watching birds.
cilta	mi pu katna le mi'u cilta le ci mei	I cut the wire into three pieces.
cimde	le mitre be li re cu cimde le mi'u kumfa le ka clani	Two meters is the dimension of the room in length.
cimni	si'au le nu penmi cu cimni le ka se ditcu	It seems to me, the meeting will never end.
cimni	le mi'u munje cu cimni le ka se canlu	The world is infinite in space.
cinba	mi pu cinba le mi'u fetsi re'o pa kerlo	I kissed her in the ear.
cindu	xu da cindu bu'u le mi'u cmana	Are there oak trees on the mountain?
cinfo	mi pu se spaji le ka viska le cinfo	I was surprised to see a lion.
cinje	da cinje le bukpu	There are creases in the cloth.
cinje	gau ko ri xutla	Smooth out it.
cinki	lo ka insekto cu ka cinki	Insects are arthropods.
cinla	le mi'u ninmu cu cinla le ka se tuple	The woman has thin legs.
cinmo	mi cinmo le ka gleki vau le nu mi'o tavla zu'ai bau la lojban	I feel happy that we talk in Lojban.
cinri	.i ma paunai se cinri le cabna be lenu ra co'a speni	Who cares when she gets married?
cinta	mi pu punji le cinta be le kliti bei le sovda le mi'u bitmu	I put an oil paint (with clay as a pigment) on to the wall.
cintura	le cintura be do cu klani ma le ka clani	What is the length of your waist?
cinza	lei re cinza be le manti bei lei cidja ca ca'o sutra muvdu	The two pincers of the ant used to pinch food are quickly moving.
cipni	le mi'u pa cipni ca'o vofli	The bird is flying.
cipra	le nu catlu le kanla be do cu cipra le nu do stace se la'u li xo kau	To look into your eyes is a test of your sincerity.
cipra	mi pu gasnu le cipra be tu'a le mi'u karce	I tested the car.
cipra	ba zi ku mi jai se cipra	I will have a test soon.
cirko	mi cirko le ka kakne le ka sazri le xirma vau le ka xabju le tcadu	I lost my ability to ride a horse while living in the city.
cirkulo	mi pu ciska pa cirkulo	I drew a circle.
cirla	xu do djica tu'a le cirla	Would you like cheese?
ciska	mi ba ciska lu coi munje li'u le pelji	I will write "Hello, world!" on the paper.
cisma	se ja'e ma do cisma	Why are you smiling?
ciste	le kibro cu ciste le se tcana be le skami poi se pi'o ce'u le prenu cu jikca	The internet is a system with computer nodes, using which people communicate.
citka	.i mi mo'u citka le pa badna .e le re plise	I've eaten a banana and two apples.
citno	le nixli cu citno le ka lifri le xo kau mei	The girl is young in how much she experienced.
citri	mi tadni le citri be le mi'u kagni bei le cnino lanli	I'm studying the history of the company according to new analysts.
citsi	ca citsi le nu carvi vau le pa no no mu moi	Now it's the season of rains of year 2005.
citsi	vi ku le dunra cu citsi le nu lenku	Here, winter is a cold season.
civla	xu le civla be fi le gerku cu ckape le remna	Are dog louses dangerous to humans?
cizra	.i le valsi cu cizra mi le ka se smuni makau	The word is strange to me in meaning.
cizra	.i cizra fa le nu la .tom. na zvati	It's strange that Tom is not present.
ckabu	le bolci poi ckabu cu plipe ri'a le ka pruni	A rubber ball jumps because it is elastic.
ckafi	do pinxe le ckafi ji le tcati	Will you drink coffee or tea?
ckaji	le mi'u prenu na simlu gi'e ku'i ja'a ckaji vau le ka ninmu	The person doesn't look like a woman but she is.
ckaji	le ka masno bacru cu se ckaji tu noi nanmu	Slow speech is the characteristic of that man.
