lojbo	glico
.i cmalu ke'u sa'e tcadu gi'e stuzi lo za'u ve'i xunre zdani ku joi lo za'u prenu noi ke'a zi co'a cikna gi'e ke'a zutse bu'u lo ctistu fau lo nu lafti lo kabri be loi ckafi gi'e ke'a zgana lo nu sutra litru fi tu'a lo karce ze'o le spati bitmu ja'e tu'a lo barda dilnu be loi pulce	It's a small village with little red houses and newly awakened people sitting in their kitchens with their coffee cups raised, watching the car rush past on the other side of the hedge with a high cloud of dust behind it.
.i ca mutce lo ka sutra .i je le nanmu be ne'i le karce cu viska le nu lo tricrpopulu ku joi lo dicnoibejga'a noi zi tarlypi'u fi ke'a vu'o ne tai loi za'u grusi ctino cu jibni le'e se pagre	It goes very fast, and the man in the car sees the poplars and the newly tarred telegraph poles looming past like gray shadows.
.i crisa brife pa'o le crane canko .i je le re mei cu jai gau sutra to'o le ve'i tcadu gi'e cnici je snura midju le dargu gi'e ca kansa no da bu'u le dargu pu ku ku'i	There is a summer breeze through the windshield, they rush out of the village, they are nice and safe in the middle of the road, and they are alone on the road - yet.
.i kufra lo ka kalam co kansa be no drata vi'i le ganra je xutla dargu .i je lo'e nu litru le se pinta tumla cu zmadu fi lo ka zabna	It's nice to travel all alone on a soft, wide road, and out on the plain it's nicer.
.i le nanmu cu saxfri gi'e tsali gi'e pencu le ninmu pe le nei le ri'u cidni be le birka le xadni	The man is happy and strong, and with his right elbow he feels his woman's body.
.i le nanmu na palci	This is not a bad man.
.i ri se .urja lo ka mo'u klama le xamsi	He is in a hurry to get to the sea.
.i le nanmu na kakne lo ka jai gau cortu fai lo'e pe'a bifce ku ji'a .i ku'i to'e ki'u nai pu'o jai gau morsi fai le verba	He could not hurt a wasp, yet he is about to kill a child.
.i ze'a le nu sutra klama fa'a le ve'i tcadu poi ci moi kei le ninmu cu za'u re'u jai gau ganlo fai le kanla gi'e kelci se xanri le nu na jai gau kalri pu le nu ka'e viska le xamsi .i je fau le rilti nu le karce cu xutla desku cu senva le tarmi be le sefta be le xamsi poi pinta gusminra	As they rush towards the third village, the woman closes her eyes again and pretends that she will not open them until they can see the sea, and she dreams to the rhythm of the car's gentle sway of how shiny it will be.
ni'o se ki'u ku ju'o lo'e nu jmive cu tai tolke'i se finti .i pu le mentu poi le nanmu cu jai gau morsi fai le verba ca ke'a ku'o le nanmu cu to'e ki'u nai saxfri .i je pu le mentu poi le ninmu cu to'e pacna krixa ca ke'a ku'o le ninmu cu kakne lo ka ze'a le nu le kanla cu ganlo cu pacna tu'a le xamsi .i je pu le ro moi be le'i mentu poi le verba cu jmive ca ke'a ku'o le rirni be le verba cu kakne lo ka zutse bu'u le ctistu gi'e denpa tu'a lo sakta gi'e casnu le blabi denci be le panzi be vo'a fe le nu litru fi tu'a lo bloti .i je le verba cu kakne lo ka jai gau ganlo fai le pa vorme gi'e co'a klama le ragve be le dargu gi'e bevri jgari loi so'o bliku be loi sakta be'o ku noi se gacri lo blabi pelji ku'o le ri'u xance gi'e viska ze'a le bi'u nai ro moi mentu no drata be le ve'i gusminra rirxe pe lo barda finpe ge'u .e le ganra bloti pe le smaji cpuga'a	For so ruthlessly is life constructed that a minute before a happy man kills a child, he is still happy, and a minute before a woman screams in horror, she can close her eyes and dream of the sea, and the last minute of a child's life, that child's parents can sit in a kitchen waiting for sugar and talk about their child's white teeth and a rowing trip, and the child himself can close a gate and start walking across a road with some sugar cubes wrapped in white paper in his right hand, and all that last minute see nothing but a long shiny river with big fish and a wide-bottomed boat with silent oars.
ni'o ba ku dukse lo ka lerci	Afterwards everything is too late.
.i ba ku le pa blanu karce cu salpo fi le dargu .i je le pa krixa ninmu cu jai gau muvdu fai le xance fi le moklu .i je le xance cu ve flecu lo ciblu	Afterwards, a blue car is sideways across the road, and a screaming woman takes her hand from her mouth, and the hand bleeds.
.i ba ku le pa nanmu cu jai gau kalri fai le gacri vorme be fo le karce gi'e troci lo ka sanli fi le tuple kei to'e ki'u nai le nu le nei cu cinmo lo ka pe'a se kevna lo nu to'e pacna	Afterwards, a man opens a car door and tries to stand on his legs, even though he has a pit of horror inside him.
.i ba ku le so'o blabi bliku be loi sakta cu jai te prali be no da je cunso cpana lo ciblu ku joi lo ve'i rokci .i je le pa verba cu na'e muvdu vreta le loldi ne re'o le betfu .i je tsali prina le flira le dargu	Afterwards, some white sugar cubes lie uselessly strewn in blood and gravel, and a child lies motionless on its stomach with its face pressed hard against the road.
.i ba ku le re pilda prenu noi nu'o pinxe lo ckafi cu to'o bajra klama fo lu'i le vorme gi'e viska le pa jvinu be le dargu be'o poi le nei ba no roi co'u morji fi ke'a	Afterwards, two pale people who have not yet had their coffee come running out of a gate and see a sight on the road that they will never forget.
.i se ki'u ku ju'o na jetnu fa le du'u ka'u lo ka pu zi se xrani cu ka ba za co'a kanro	For it is not true that time heals all wounds.
.i na ku za co'a kanro fa lo verba poi gau morsi .i je masno zenba lo ka kanro kei fa lo'e mamta poi ke'a se snuti lo nu ke'a na te vecnu tu'a loi sakta kei gi'e minde lo panzi be ke'a lo ka klama lo ragve be lo dargu te zu'e lo nu jbera .i je si'a fi le'e xlali cu jdika lo ka dunku kei fa lo'e nanmu poi ba'o saxfri gi'e jai gau morsi fai lo verba	Time does not heal the wounds of a killed child, and it heals very poorly the pain of a mother who forgot to buy sugar and sent her child across the road to borrow it, and just as poorly it heals the anguish of a once happy man who killed a child.
.i se ki'u ku le ba'o jai gau morsi be fai le verba na ku klama le xamsi	For he who has killed a child does not go to the sea.
.i le ba'o jai gau morsi be fai le verba cu masno klama le zdani ze'a le nu smaji .i je le go'i cu se lamji le ninmu noi ca bacru no da zi'e ne lo xance poi se gacri lo badytci boxfo .i je bu'u ro ve'i tcadu poi ca pagre ke'a cu viska no gleki prenu	He who has killed a child goes slowly home in silence, and beside him he has a mute woman with a bandaged hand, and in all the villages they pass, they do not see a single happy person.
.i le ro ctino ca mutce lo ka manku .i je ca le nu co'u penmi cu za'o smaji .i le nanmu poi ba'o jai gau morsi fai le verba cu djuno le du'u le smaji cu bradi le nei kei .e le du'u le nei cu nitcu lo nu ri renvi fi lo nanca be li so'i kei lo nu le smaji co'u fapro lo nu le nei cu krixa cusku lo se du'u le nei na fuzme	All shadows are very dark, and when they part, it is still in silence, and the man who killed the child knows that this silence is his enemy, and that he will need years of his life to defeat it by shouting that it was not his fault.
.i ku'i le nanmu cu djuno le du'u jitfa .i je ze'a le'e nicte nu pacna kei le go'i se ba'i pacna lo nu le go'i le pa po'o mentu poi le go'i cu renvi fi ke'a cu krefu lifri te zu'e lo nu le go'i cu gasnu lo galfi be mentu bu bei su'o frica be ri	But he knows it is a lie, and in his nightly dreams he will instead wish for a single minute of his life back to make that single minute different.
ni'o ku'i ka tai na'o lifri lo xlali kei fa lo ka ba'o jai gau morsi fai lo verba .i se ki'u bo ro balvi cu dukse lo ka lerci	But life is so merciless to those who have killed a child that everything afterwards is too late.
