tcexo	rusko
Tvůj poměr k věcem se změnil. Prší-li, pravíš, že prší na zahrádku; svítí-li slunce, nesvítí jen tak, nýbrž svítí na zahrádku; je-li noc, libuješ si, že si zahrádka odpočine.	Твое отношение к вещам изменилось. Если идет дождь, ты говоришь, что дождь идет на садик; если светит солнце, оно светит не просто так, а на садик; если наступает ночь, ты радуешься, что садик отдохнет.
Jednoho dne otevřeš oči, a zahrádka bude zelená, vysoká tráva se bude třpytit rosou a v houští růžových korunek budou vyhlížet nabobtnalá, brunátná poupata; a stromy zestarají, budou rozložité a temné, těžkých korun a plné trouchnivé vůně ve vlhkém stínu. A ty už nevzpomeneš na útlou, holou, hnědou zahrádku těchto dnů, na nejisté chmýří první travičky, na hubený rozpuk prvních pupenců, na všechnu tu hlinitou, chudou a dojemnou krásu zahrádky, jež je zakládána.	Однажды ты откроешь глаза - и садик будет зеленым, высокая трава засверкает росой, а из чащи розовых венчиков выглянут налитые, багровые бутоны; и деревья постареют, станут раскидистыми и темными, с тяжелыми кронами и полные трухлявого запаха во влажной тени. И ты уже не вспомнишь про хрупкий, голый, бурый садик этих дней, про неуверенный пушок первой травки, про скудное распускание первых почек, про всю эту глинистую, бедную и трогательную красоту садика, который только закладывается.
Nu dobře, ale nyní je nutno kropit a plet a vybírat z hlíny kamení.	Ну что ж, но пока нужно поливать, полоть и выбирать из земли камни.
	
## Jak vzniká zahradník ##	## Как появляется садовник ##
	
Proti všemu zdání zahradník se nerodí ze semene, výhonku, cibule, hlízy ani štupru2, nýbrž vzniká zkušeností, okolím a přírodními podmínkami. Dokud jsem byl malý, měl jsem k otecké zahradě poměr vzpurný, ba i škodolibý, protože jsem měl zakázáno šlapat po záhonech a trhat nezralé ovoce. Podobně Adam měl v Zahradě Ráje zapovězeno šlapat po rabátkách a trhat ovoce Stromu Poznání, protože nebylo ještě zralé; jenže Adam – stejně jako my děti – si natrhal nezralého ovoce a následkem toho byl z ráje vyhnán; od té doby je a vždy bude ovoce Stromu Poznání nezralé.	Вопреки всякой видимости садовник рождается не из семени, побега, луковицы, клубня и даже не из отводка2, а возникает благодаря опыту, окружению и природным условиям. Пока я был маленьким, мое отношение к отцовскому саду было мятежным, даже злорадным, потому что мне запрещали ходить по грядкам и рвать незрелые плоды. Точно так же Адаму в райском саду было запрещено топтать клумбы и срывать плоды с Древа познания, потому что они еще не созрели; но Адам, как и мы, дети, нарвал себе незрелых плодов и за это был изгнан из рая; с тех пор плоды Древа познания всегда были и будут незрелыми.
	
2 Odnož. Pozn. red.	2 Отводок. Прим. ред.
	
Pokud je člověk v květu mladosti, myslí si, že květ je to, co se nosí v knoflíkové dírce nebo podává děvčeti; nemá jaksi to pravé pochopení pro to, že květ je něco, co přezimuje, co se okopává a mrví a zalévá a přesazuje a řízkuje a ořezává a přivazuje a zbavuje plevele a plodnic a suchých lístků a mšic a padlí; místo aby přerýval záhonky, běhá za děvčaty, ukájí svou ctižádost, požívá plodů života, kterých sám nevypěstil, a vůbec chová se celkem destruktivně. Je potřeba jisté zralosti, řekl bych, jistého věku paternity, aby se člověk mohl stát zahradníkem amatérem. Mimoto je třeba, aby měl svou zahrádku. Obyčejně si ji nechá udělat od zahradníka z povolání a myslí si, že se na ni bude chodit po své práci dívat a radovat se z květinek a naslouchat šveholení ptáčků. Jednoho dne se mu stane, že sám vlastní rukou zasadí jednu kytičku; mně se to stalo s netřeskem. Přitom mu nějakou záděrou či jak vnikne do těla trochu půdy a způsobí jakousi otravu nebo zánět; zkrátka z člověka se stane zanícený zahradník. Jen drápek uvíz, a chycen je celý ptáček. Jindy vzniká zahradník nákazou od sousedů; vidí třeba, jak sousedovi kvete smolnička, a řekne si: Zatrápeně, proč by taky nekvetla mně? A to by tak hrálo, abych ji neměl ještě lepší! – Od těchto začátků zapadá zahradník hloub a hloub do této nově probuzené vášně, živené dalšími úspěchy a vybičované dalšími neúspěchy; propuká v něm chtíč sběratelský, který jej pohání, aby vypěstoval všecko podle abecedy od Acaeny po Zauschnerii; později se v něm vyvíjí náruživost specialistická, která z člověka do té doby příčetného učiní růžaře, jiřináře nebo jiný druh exaltovaného maniaka. Opět jiní propadnou vášni umělecké a ustavičně přerovnávají, mění a přestavují svou zahrádku, komponují barvy, přeskupují trsy a vyměňují, co jim kde stojí a roste, štváni tak řečenou tvůrčí nespokojeností. Ať si nikdo nemyslí, že pravé zahradničení je bukolická a meditativní činnost. Je to neúkojná vášeň, jako všecko, do čeho se pustí důkladný člověk.	Пока человек в цвете юности, он думает, что цветок - это то, что носят в петлице или подают девушке; ему как-то недостает настоящего понимания того, что цветок - это нечто, что зимует, что рыхлят и удобряют, поливают и пересаживают, черенкуют и подрезают, подвязывают и очищают от сорняков, завязей, сухих листьев, тли и мучнистой росы; вместо того чтобы перекапывать грядки, он бегает за девушками, тешит свое честолюбие, вкушает плоды жизни, которых сам не вырастил, и вообще ведет себя довольно разрушительно. Нужна известная зрелость, я бы сказал, некий возраст отцовства, чтобы человек мог стать садоводом-любителем. Кроме того, у него должен быть собственный садик. Обычно он заказывает его у профессионального садовника и думает, что будет после работы просто приходить туда, любоваться цветочками и слушать щебет птиц. Но однажды случается так, что он собственноручно посадит один цветочек; со мной это было, когда я посадил молодило. При этом какая-нибудь заноза или что-то в этом роде занесет в тело немного земли и вызовет что-то вроде отравления или воспаления; короче говоря, человек становится страстным садовником. Коготок увяз - всей птичке пропасть. А иной раз садовник возникает путем заражения от соседей; увидит, например, что у соседа цветет смолка, и скажет себе: черт возьми, почему бы и у меня ей не цвести? Да еще как, у меня она должна быть лучше! С этих начал садовник все глубже и глубже погружается в эту пробудившуюся страсть, питаемую новыми успехами и подстегиваемую новыми неудачами; в нем просыпается собирательская жадность, которая гонит его вырастить все по алфавиту - от ацены до цаушнерии; позже в нем развивается страсть специалиста, которая делает из до того вполне вменяемого человека знатока роз, знатока георгинов или другого вида восторженного маньяка. Иные же поддаются страсти художественной и беспрестанно переставляют, меняют и перекраивают свой садик, компонуют краски, перегруппировывают куртины и меняют местами все, что у них где растет, гонимые так называемым творческим недовольством. Пусть никто не думает, будто настоящее садоводство - занятие буколическое и созерцательное. Это ненасытная страсть, как и все, за что по-настоящему берется основательный человек.
Ještě vám povím, jak poznáte pravého zahradníka. „Musíte se přijít ke mně podívat,“ praví, „já vám musím ukázat svou zahrádku.“ Když tedy přijdete, abyste mu udělali radost, najdete, jak někde mezi perenami vyčnívá jeho zadní část. „Hned přijdu,“ povídá přes rameno, „jen co to tadyhle vysadím.“	Я еще скажу вам, как узнать настоящего садовника. "Вам непременно нужно ко мне заглянуть, - говорит он, - я должен показать вам свой садик". И вот, когда вы приходите, желая доставить ему удовольствие, вы видите, как где-то среди многолетников торчит его задняя часть. "Сейчас приду, - говорит он через плечо, - только вот это тут посажу".
„Jen se nevyrušujte,“ řeknete mu přívětivě. Po nějaké době to už nejspíš vysadil; zkrátka vstane, zamaže vám ruku a záře pohostinností praví: „Tak se pojďte podívat; je to sic malá zahrádka, ale – okamžik,“ povídá a sehne se nad rabátko, aby tam vyplel několik traviček. „Tak pojďte. Já vám ukážu Dianthus Musalae, to budete koukat. Hergot, tady jsem to zapomněl zkypřit,“ praví a začne se rýpat v půdě. Po čtvrthodince se opět vztyčí. „Aha,“ řekne, „já jsem vám chtěl ukázat ten zvonek, Campanula Wilsonae. To je vám ten nejhezčí zvonek, jaký – Počkejte, tady musím přivázat to Delphinium.“ Když to přivázal, vzpomene si: „Bodejť, vy se teda chcete podívat na to Erodium. Okamžik,“ bručí, „jen co tadyhle přendám ten Aster; on tu má málo místa.“ Načež odejdete po špičkách, nechávaje mezi perenami vyčnívat jeho zadní část.	Да вы не отвлекайтесь, - скажете вы ему приветливо. Спустя некоторое время он, видимо, уже посадил это; словом, встает, пачкает вам руку и, сияя гостеприимством, говорит: "Ну пойдемте посмотрим; садик, правда, маленький, но... минутку, - говорит он и наклоняется над клумбой, чтобы выполоть там несколько травинок. - Ну пойдемте. Я вам покажу Dianthus Musalae, вы ахнете. Черт, тут я забыл взрыхлить", - говорит он и начинает ковыряться в земле. Через четверть часа он снова выпрямляется. "Ага, - говорит он, - я ведь хотел показать вам этот колокольчик, Campanula Wilsonae. Это вам самый красивый колокольчик, какой... Постойте, тут мне надо подвязать это Delphinium". Когда он его подвязал, вспоминает: "Вот ведь, вы же хотите посмотреть на это Erodium. Минутку, - бормочет он, - только я вот тут переставлю этот Aster; ему тут тесно". После чего вы уходите на цыпочках, оставляя его заднюю часть торчать среди многолетников.
A když jej zase potkáte, řekne vám: „Musíte se přijít ke mně podívat; mně vám kvete jedna růže pernetka, to jste ještě neviděl. Tak přijdete? Ale jistě!“	А когда вы снова встретите его, он скажет вам: "Вам непременно нужно ко мне заглянуть; у меня зацвела одна роза-пернетка, такого вы еще не видели. Так придете? Ну конечно!"
Nu dobře: pojďme se k němu podívat, jak rok plyne.	Ну что ж: пойдем посмотрим на него, как проходит год.
	
## Zahradníkův leden ##	## Январь садовника ##
	
„Ani leden není pro zahradníka dobou nečinnosti,“ říkají zahradnické příručky. Zajisté nikoliv; neboť v lednu zahradník hlavně	И январь для садовника вовсе не время бездействия, - говорят садоводческие пособия. Несомненно, нет; ведь в январе садовник главным образом
	
## pěstuje počasí. ##	## выращивает погоду. ##
	
S počasím je to totiž zvláštní věc: nikdy to s ním není v pořádku. Počasí vždycky přestřeluje na jednu nebo na druhou stranu. Teplota se nikdy nestrefí se stoletým normálem; buď je pět stupňů pod ním, nebo pět stupňů nad ním. Srážek je buď deset milimetrů pod normál, nebo dvacet milimetrů nad normál; není-li příliš sucho, je nevyhnutelně příliš mokro.	С погодой дело вот какое: она никогда не бывает в порядке. Погода всегда чересчур уклоняется то в одну, то в другую сторону. Температура никогда не попадает в многолетнюю норму; она либо на пять градусов ниже, либо на пять градусов выше. Осадков либо на десять миллиметров меньше нормы, либо на двадцать миллиметров больше; если не слишком сухо, то уж непременно слишком сыро.
Mají-li i lidé, kterým jinak do toho nic není, tolik důvodů stěžovat si na počasí, jakpak teprve zahradník! Napadne-li málo sněhu, bručí plným právem, že to nikam nestačí; napadne-li sněhu mnoho, projevuje vážné obavy, že mu to poláme jehličiny a pěnišníky. Není-li sněhu, běduje na zhoubné holomrazy; nastane-li obleva, klne těm bláznivým větrům, které ji provázejí a mají ten hanebný zvyk, že mu rozhazují chvojí a jiný kryt po zahradě a snad mu i, hrom do nich!, polámou nějaký ten stromek. Troufá-li si v lednu zasvítit slunce, chytá se zahradník za hlavu, že mu keře poženou předčasně do mízy. Prší-li, bojí se o své alpinské kytičky; je-li sucho, myslí s bolestí na své rododendrony a andromedy. A přece by nebylo těžko mu vyhovět: stačilo by mu, kdyby od prvního do posledního ledna prostě bylo žádná celá, devět desetin stupně pod nulou, sto dvacet sedm milimetrů sněhu (lehkého a podle možnosti čerstvého), většinou oblačno, žádné nebo mírné větry západních směrů; a bylo by všechno v pořádku. Ale to je to: o nás zahradníky se nikdo nestará a nikdo se nás neptá, co by mělo být. Proto ten svět tak vypadá.	Если даже у людей, которых вообще-то это не касается, столько причин жаловаться на погоду, то что уж говорить о садовнике! Выпадет мало снега - он с полным правом ворчит, что этого никуда не годится; выпадет много - он всерьез опасается, что снег поломает ему хвойные и рододендроны. Нет снега - он скорбит о губительных морозах без снежного покрова; начнется оттепель - он клянет эти безумные ветры, что ее сопровождают и имеют подлую привычку разбрасывать по саду лапник и прочее укрытие, а то еще и, черт бы их побрал, поломают какое-нибудь деревце. Вздумает в январе выглянуть солнце - садовник хватается за голову, что кусты преждевременно пойдут в сок. Идет дождь - он боится за свои альпийские цветочки; стоит засуха - с болью думает о своих рододендронах и андромедах. А ведь угодить ему было бы совсем не трудно: достаточно было бы, чтобы с первого до последнего января держалось ровно минус ноль целых девять десятых градуса, лежало сто двадцать семь миллиметров снега (легкого и, по возможности, свежего), было по большей части облачно, без ветра или с умеренным западным; и все было бы в полном порядке. Но в том-то и дело: о нас, садовниках, никто не заботится и никто нас не спрашивает, как должно быть. Потому этот мир так и выглядит.
	
Nejhůř je zahradníkovi, když nastanou holomrazy. Tehdy země ztuhne a vyschne na kost, den za dnem a noc za nocí hlouběji; zahradník myslí na kořínky, které zamrzají v půdě mrtvé a tvrdé jako kámen; na větévky až do dřeně prozáblé suchým a ledovým větrem; na mrznoucí pupence, do kterých na podzim rostlina sbalila svých pět švestek. Kdybych věděl, že to pomůže, oblékl bych svou cesmínu do vlastního kabátu a na janovec bych navlékl své vlastní kalhoty; pro tebe svléknu svou košili, azalko pontská, tebe, dlužicho, přikreju kloboukem, a na tebe, krásnoočko, už nezbývají než mé ponožky; i vezmi zavděk.	Хуже всего садовнику, когда стоят морозы без снега. Тогда земля каменеет и высыхает до костей, день за днем и ночь за ночью все глубже; садовник думает о корешках, которые мерзнут в мертвой и твердой, как камень, почве; о веточках, продрогших до самой сердцевины от сухого ледяного ветра; о замерзающих почках, в которые растение с осени уложило все свои надежды. Если бы я знал, что это поможет, я надел бы на свой падуб собственное пальто, на дрок натянул бы собственные штаны; ради тебя я сниму с себя рубашку, понтийская азалия, тебя, гейхера, прикрою шляпой, а тебе, кореопсис, уже остаются только мои носки; уж бери что есть.
	
Jsou různé lsti, jak lze vyzrát na počasí a způsobit jeho změnu. Například jakmile se rozhodnu obléknout to nejteplejší, co na sebe mám, nastane pravidelně oteplení. Obleva rovněž nastává, smluví-li se několik přátel, že pojedou na hory lyžařit. I tehdy, když někdo napíše do novin článek, ve kterém popisuje panující mrazy, zdravě omrzlé tváře, rej na kluzištích a jiné takové úkazy, dostavuje se obleva právě ve chvíli, kdy se ten článek sází v sazárně, takže jej lidé čtou, zatímco venku už zase vlažně prší a teploměr ukazuje osm nad nulou; i řekne ovšem čtenář, že v novinách je samá lež a podfuk; dejte nám s novinami pokoj. Naproti tomu sakrování, nářky, zaklínání, potahování, říkání „brrr“ a jiné inkantace3 na počasí vlivu nemají.	Есть разные хитрости, как перехитрить погоду и заставить ее перемениться. Например, стоит мне решить, что пора надеть на себя самое теплое, что у меня есть, как тут же обязательно наступает потепление. Оттепель также начинается, если несколько приятелей условятся поехать в горы кататься на лыжах. И если кто-нибудь напишет в газету статью, где описывает стоящие морозы, здорово обмороженные лица, веселье на катках и тому подобные явления, оттепель непременно приходит в ту самую минуту, когда статью набирают в типографии, так что люди читают ее, а за окном уже опять мягко моросит дождь и градусник показывает восемь выше нуля; и читатель, конечно, говорит, что в газетах одна ложь и надувательство; да ну их, эти газеты. А вот ругань, жалобы, заклинания, подвывания, возгласы "брр" и прочие инкантации3 на погоду не действуют.
	
3 Pověrečné zaříkávání. Pozn. red.	3 Суеверные заклинания. Прим. ред.
	
Co se týče lednové vegetace, nejznámější jsou takzvané květy na skle. K jejich vybujení je třeba, abyste měli v pokoji nadýcháno aspoň trochu vodních par; je-li vzduch dokonale suchý, nevypěstujete na oknech ani mizernou jehličku, natož květy. Dále je třeba, aby okno někde špatně přiléhalo; tím směrem, kterým do okna fičí, rostou ledové květy. Proto bují spíš chudým lidem než bohatým, protože bohatým okna lépe přiléhají.	Что касается январской растительности, то самые известные тут так называемые цветы на стекле. Чтобы они пышно разрослись, нужно, чтобы у вас в комнате было хоть немного водяного пара; если воздух совершенно сухой, вы не вырастите на окнах даже жалкой иголочки, не то что цветов. Далее нужно, чтобы окно где-нибудь неплотно прилегало; именно в ту сторону, откуда в окно поддувает, и растут ледяные цветы. Поэтому они чаще буйствуют у бедных, чем у богатых, потому что у богатых окна прилегают лучше.
Botanicky se ledové květy vyznačují tím, že to vlastně nejsou květy, nýbrž jenom lupení. Toto lupení se podobá endivii, petrželi a listí celerovému; dále různým bodlákům z čeledi Cynarocephalae, Carduaceae, Dipsaceae, Acanthaceae, Umbelliferae a jiných; lze je srovnati s druhy: ostropes čili trubil, pupava, pcháč, notabasis, máčka, bělotrn, bodlák, štětka, světlice, paznehtník, a ještě s některými jinými bodlinatými, zpeřeně, zubatě, rozeklaně, vykrajovaně, stříhaně nebo kracovitě olistěnými bylinami; někdy se podobají kapradinám nebo palmovým listům a jindy jehličí jalovcovému; květů však nemají.	С ботанической точки зрения ледяные цветы отличаются тем, что это, собственно, не цветы, а одна только листва. Эта листва напоминает эндивий, петрушку и сельдерейные листья; далее - разные чертополохи из семейств Cynarocephalae, Carduaceae, Dipsaceae, Acanthaceae, Umbelliferae и других; ее можно сравнить с такими видами, как расторопша, пупава, бодяк, notabasis, синеголовник, мордовник, чертополох, ворсянка, сафлор, пазник, а еще с некоторыми другими колючими, перистыми, зубчатыми, рассеченными, выемчатыми, резными или курчаво-облиственными травами; иногда она похожа на папоротники или пальмовые листья, а иной раз - на можжевеловую хвою; но цветов у нее нет.
	
Tedy „ani leden není pro zahradníka dobou nečinnosti“, jak – zajisté jen pro útěchu – tvrdí zahradnické příručky. Především lze prý zpracovávat půdu, jelikož prý se mrazem drobí. Tu tedy hned na Nový rok se vyřítí zahradník do zahrady, aby zpracovával půdu. Pustí se do ní rýčem; po delší námaze se mu podaří zlomit rýč o půdu tvrdou jako korund. Zkusí to s motykou; činí-li to vytrvale, přerazí u ní topůrko. I chopí se krumpáče a docílí aspoň toho, že jím rozkopne cibulku tulipánu, kterou vsadil na podzim. Jediný prostředek je zpracovávat půdu dlátem a kladivem; jenže je to velmi pomalý postup, který brzo omrzí. Snad by šlo kypřit půdu dynamitem; ale ten zahradník obyčejně nemá. Dobrá, nechme to na oblevu.	Итак, "и январь для садовника вовсе не время бездействия", как - без сомнения, лишь в утешение - утверждают садоводческие пособия. Прежде всего, мол, можно обрабатывать почву, потому что мороз ее крошит. И вот уже в Новый год садовник выскакивает в сад, чтобы обрабатывать почву. Берется за лопату; после долгих усилий ему удается сломать ее о землю, твердую как корунд. Пробует тяпку; если упорствует, ломает у нее черенок. Тогда хватается за кирку и добивается хотя бы того, что раскалывает ею луковицу тюльпана, посаженную осенью. Единственное средство - обрабатывать почву зубилом и молотком; только это очень медленно и вскоре надоедает. Наверное, можно было бы рыхлить землю динамитом; но у садовника его обыкновенно нет. Ладно, оставим до оттепели.
A hle, je tu obleva, a zahradník se vyřítí na zahradu, aby zpracovával půdu. Po chvíli ji všechnu odnese domů, nalepenou na botách, pokud na povrchu rozmrzla; nicméně tváří se blaženě a tvrdí, že už se země otvírá. Zatím nezbývá než „dělat různé přípravné práce pro nastávající sezonu“. „Máš-li ve sklepě suché místo, připrav si květináčovou půdu,	И вот приходит оттепель, и садовник снова вылетает в сад обрабатывать почву. Через некоторое время он приносит ее всю домой, налипшей на ботинки, насколько она оттаяла сверху; однако сияет блаженством и уверяет, что земля уже открывается. Пока же остается только "выполнять разные подготовительные работы к наступающему сезону". "Если у тебя в погребе есть сухое место, приготовь землю для горшков,
	
řádně míse listovku, kompost, zetlelý kravský trus a trochu písku.“ Výborně! Jenže ve sklepě je koks a uhlí; ty ženské se všude roztahují se svými hloupými domácími potřebami. Takhle v ložnici by bylo dost místa pro pěknou hromádku humusu –	как следует смешай листовую землю, компост, перепревший коровий навоз и немного песка". Прекрасно! Только в погребе лежат кокс и уголь; эти женщины всюду расползаются со своими глупыми домашними надобностями. Вот в спальне вполне хватило бы места для славной кучки перегноя...
„Použij zimní doby k opravám na pergole, loubí nebo besídce.“ To je pravda; jenže náhodou nemám pergolu, loubí ani besídku. „I v lednu lze klásti drn“ – jen kdyby bylo kam; snad v předsíni nebo na půdě. „Hlavně bdi nad temperaturou ve skleníku.“ Nuže, bděl bych rád, ale skleníku nemám. Tyhle zahradnické příručky člověku mnoho neřeknou.	Используй зимнее время для починки перголы, беседки или садовой арки. Это верно; только у меня, к несчастью, нет ни перголы, ни арки, ни беседки. "И в январе можно укладывать дерн" - вот только куда; разве что в прихожей или на чердаке. "Главное, следи за температурой в теплице". Ну что ж, следил бы охотно, да только теплицы у меня нет. От этих садоводческих книжек человеку мало проку.
	
A tedy čekat, čekat! Pane na nebi, jak je ten leden dlouhý! Jen kdyby už byl únor –	Итак, ждать, ждать! Господи, до чего же длинный этот январь! Хоть бы уже пришел февраль...
„Že se dá v únoru na zahrádce něco dělat?“	Разве в феврале уже можно что-то делать в саду?
„No ba, třeba už i v březnu.“	Ну да, может, даже в марте.
A zatím, aniž měl o tom tušení nebo aniž se o to nějak přičinil, mu vyrazily na zahrádce krokusy a sněženky.	А между тем, сам того не ведая и ничуть к этому не приложив руки, он вдруг обнаруживает, что у него в садике уже вылезли крокусы и подснежники.
	
## Semínka ##	## Семена ##
	
