spero	glico	lojbo
la vanajn sapvezikojn plu ne flugigi blove,	to no longer make vain soapbubbles fly by blowing,	fa lo nu ba'o gasnu lo nu lo zbabu fonmo cu vofli ri'a lo nu tolsakci vau
kaj ektirinte sxultrojn felicxindiferente,	and, shrugging my shoulders happily-indifferently,	gi'e
La "Kanton de la Sklavo" ne kanti plu Schulhofe.	to no longer sing the "Song Of The Slave" like Schulhof.	ba'o sanga la'e lu lo se sanga be lo selfu li'u tai la .culxof. fau loka lafti lo janco seci'o loka gleki na'e se cinri
Sed kien iri? Kie trovigxas idealo,	But where to go? Where is there an ideal,	.iku'i ei binxo ma .i ma du lo tarmi
sur kiu mi ne vidus malican ekrikanon,	on which I would not see a malicious snigger,	poi mi na viska lo palci cisma pe ke'a vau
en kies altartukon, freneze, post batalo,	in whose altar cloth, crazily, after a battle,	je noi fe le altare bukpu pe ke'a cu fi'o fenki ba lo nu damba vau
neniu adoranto jam visxis sangan manon?	no adorer has already wiped a bloody hand?	fa no se ljida be ke'a co'i jisysatre fi lo ciblu se gacri xance
		
Ho, jen vi, Esperanto! Ne glora kaj fiera,	There you are, Esperanto! Not glorious and proud,	.i doi sperybau va'o fa do noi na mleba'i gi'e na jgira
nur orfa, senpotenca, senforta, senmatura,	just orphan, powerless, strengthless, immature,	gi'e sa'u claxu gi'e na'e vlipa gi'e na'e tsali gi'e na'e makcu
svenema kaj senhelpa kaj --- eble --- senespera,	fainting-prone and helpless and --- maybe --- hopeless,	gi'e ruble tende gi'e na'e se sidju gi'e la'acu'i na'e jai se pacna
sed nobla, blanka, klara kaj senmakule pura.	but noble, white, clear and immaculately pure.	gi'e ku'i nobli gi'e vrude gi'e mulno jinsa
		
Mi konas vin. Enkore vi kantis najtingale	I know you. In the heart you sung as a nightingale	.i mi se slabu do .i bu'u lo risna pe'a do pu sanga tai lo lustcania
en nokto de la mondo. Vi kiel povis trili!	in the night of the world. How you could trill!	ca lo munje nicte .i .ue do se slivoksa sai
Vin oni ne auxskultis, bucxadis sin "reale"...	Noone heard you, they kept butchering each other "in the real world".	.i ro da na pu tirna do gi'e ca'o catra simxu bu'u lo ti'e to'e xanri
Cxu sxtopu mi l' orelojn por ilin eksimili?	Should I stop my ears to start resembling them?	.i .eipei mi co'u pilno lo mi kerlo mu'i lo ka simsa da
		
Ne! En la kor' plusonu la kanto dolcxetrila,	No! Let the sweet-trilling song still sound in the heart,	.i .ai na go'i .i .ai lo pluka se sanga ca'o se sance bu'u le risna
ho, kantu birdo eta, senforta, kara, kara!	oh, sing, small, powerless, dear, dear bird!	.i ko sanga doi cmalu je na'e vlipa je dirba je cai dirba cipni
Vi estu mia bela mensogo sorcxebrila,	Be my beautiful lie shining enchantingly,	.i ko me lo mi melbi jai jitfa poi ru'i carmi fi'o pluka
vi estu la konsolo en nia mond' amara!	be my consolation in our bitter world!	.i ko jai rinka lo nu mi co'u se raktu bu'u lo mi'ai se badri munje
		
	Green is a sign of the Esperanto culture.	.i lo crino cu spero sinxa se skari
	Kabe (Kazimierz Bein) is a famous Esperanto translator. However, in 1911 Kabe stopped being a member of the Esperanto culture.	.i la'oi Kabe noi du la'o py. Kazimierz Bein .py. cu misno ke spero fanva .i ku'i ca lo 1911moi nanca ky. co'u cmima le spero kulnu
	Stanislav Schulhof is one of the first Esperanto poets	.i la .stanislav. culxof. cu me lo pamoi spero meic finti
	The author of the poem talks about the World War I that had started just before the invention of the poem.	.i le finti be le pemci cu tavla fi la pamoi ke munje nu damba noi cfari puzi lo nu finti le pemci
