English	Lojban
I'd like to eat something.	.au mi citka da
I want to leave.	.au mi cliva
I want to climb this mountain.	.au mi cpare ti voi ve'u cmana
I want to be a teacher.	.au mi se cuntu lo ka ctuca
I want to dance.	.au mi dansu
That's what I want to know.	au mi djuno fi la'e do'i
I want to give Mom a plant.	.au mi plicru le mamta le bi'u spati
I want to have sex with her.	.au mi gletu ra
I want to tell her the truth.	.au mi skicu le fasnu ra
I want to go to Seattle.	.au mi klama la .si,atl.
I want to talk to her.	.au mi tavla ra
I want to talk to him.	.au mi tavla ra
I want to watch this film.	.au mi mencti ti voi skina
I never want to have kids.	.au mi no roi se panzi da
I want to have my own room.	.au mi ponse pa kumfa
I just wish I knew how to speak French.	.au mi se bangu lo fraso
I want to speak with you.	.au mi tavla do
I want to talk to you about something else.	.au mi tavla do lo drata
I want to talk to you about this list.	.au mi tavla do ti voi liste
I'd like to see you.	.au mi viska do
I want to see the streets.	.au mi viska le za'u klaji
I want to see your mother.	.au mi viska le mamta be do
I want to live in the city.	.au mi xabju lo tcadu
I'm reluctant to leave.	.au nai mi cliva
I wish you happiness.	.au do gleki
Do you want to play something?	.au pei do kelci da
I'm sleepy!	.au mi sipna
I'm sleepy.	.au mi sipna
I'd like some plum jam.	.au zirsmela pesxu
I don't want to go to bed.	.au nai mi klama le ckana
I don't want to read this book.	.aunai mi tcidu fi ti voi cukta
I don't want to listen to you.	.aunai mi zgatirna do
You may go.	.e'a do cliva
You may swim.	.e'a do limna
You may sit down.	.e'a do zutse
You must not go inside.	.e'a nai do klama le nenri
I will do it myself.	.e'e mi zukte se'a
I can't.	.e'e nai
I cannot accept this gift.	e'i mi na zarcpa lo nu posydu'a ti
I will do it myself.	e'ei se'a
I've got to stop you.	gau mi .e'i cai do sisti
Help yourself.	e'i cu'i dai
Please fix that.	.e'o do cikre ta
Please go on with your story.	.e'o do di'a skicu le do lisri
Please will you close the door when you go out.	gau do .e'o ganlo fa le vorme ca lo nu do cliva
Please sit down!	.e'o do zutse
If you are free, give me a hand.	.e'o ga nai do zifre gi do mi sidju
Please keep it a secret.	gau do .e'o sivni
If you see a mistake, then please correct it.	.e'o va'o lo nu do ganse lo se srera kei do cikre
I'm begging you.	e'o cai
I need to get my oboe repaired.	.ei mi cikre le mi xagri
You have to be prepared for anything.	.ei do bredi ro da
You must go home at once.	.ei do ca klama le zdani
You ought to be ashamed.	.ei do ckeji
You should be ashamed of your conduct.	.ei do ckeji le nu do tarti
You ought to know.	.ei do djuno
You ought to decide whether or not you want to go.	.ei do jdice lo du'u xukau do djica lo nu klama
You should take care of your sick mother.	.ei do kurji le do bilma mamta
You must look after the child.	.ei do kurji le verba
You are to stay here.	.ei do stali ti
It needs washing.	.ei lumci ti
We should leave.	.ei ma'a cliva
We must go.	.ei ma'a klama
I have to prepare for the test.	.ei mi bredi le cipra
I should go back to work now.	.ei mi ca di'a gunka
I have to go to bed.	.ei mi klama le ckana
Gotta go now, bye!	.ei mi cliva .i co'o
I should go now. Bye!	.ei mi cliva .i co'o
I had to work.	mi pu bai gunka
I should go home.	.ei mi klama le zdani
I can't permit this.	.ei mi na curmi
I had to try.	mi pu bai troci
We must go.	.ei ma'a klama
We have to be prepared for anything.	.ei mi'o bredi ro da
We need to chat soon.	.ei mi'o bazi casnu
You don't have to make an apology.	na sarcu fa lo nu do faxycpe
You don't have to feel threatened.	na sarcu fa lo nu do capcni
The only thing you need to do is go there.	lo ka klama tu cu pavdzakai lo ka sarcu fa lo nu do zukte ce'u
I have to win.	.ai sai mi jinga
I wish she were alive now.	.i .au ra nau jmive
I hope you will be completely cured.	.i .a'o do ba ro va'e kanro
Now, it so happens that I'm afraid of flying.	.i bi'u ge'e ri'e mi terpa lo'e nu mi klama fu lo ka se marce lo vinji
As earlier mentioned, I was afraid.	.i ke'u mi pu terpa
Come on, wake up.	.i e'e ko cikna
Tom did what I told him to do.	.i la tam. pu tinbe fi mi
The ball hit her in the eye.	.i le bolci pu janli pa kanla be le bi'u nai fetsi
The little fridge is dirty.	.i le cmlau lekmi'i na jinsa
A week has seven days.	.i lo'e jeftu cu djedi li ze
My basket is full of books.	.i le mi pa lanka cu culno za'u cukta
He will probably fail.	.i le nu le bi'u nai nakni ba fliba cu lakne
The meeting began at nine o'clock sharp.	.i pu simxu le ka penmi vau ti'u li cacra bu so mentu bu no
Her look says that she loves you.	.i le morna be tu'a le bi'u nai fetsi cu sinxa le du'u ri prami do
Your demands are unreasonable.	.i le se cpedu be do cu fenki
Horses and donkeys are different.	.i lo'e xirma ce lo'e xasli cu simxu le ka frica
She cried for hours without ceasing.	.i le bi'u nai fetsi pu ze'a le cacra be li so'i ru'i klaku
I've broken my glasses.	gau mi le mi kalta'u cu porpi
I'm not asleep, meh.	.i mi ca na sipna vau ui cu'i
I'm talking to you, my peers.	.i mi ca ca'o tavla le za'u do ga'icu'i
I am reading a book.	.i mi ca ca'o tcidu fi pa cukta
I'm only a customer.	mi te vecnu po'o
She would not disclose the secret.	ba'a ra ba ca'o mipri
There were fifty passengers on the plane.	muno prenu pu se marce le pa vinji 
There's nothing more I can tell you.	ei mi skicu fi do fe no cnino
There's nothing there.	i no da zvati ta
She grew roses.	.i le bi'u nai fetsi pu jai zu'e se purdi fi lo'e rozgu
He can't help you.	.i le bi'u nai nakni na ka'e sidju do
I am slightly ill, I assume.	.i ru'a mi milxe bilma
This paper is magical, it can turn into anything you want.	.i ti makfa pelji .i je ro da poi jai se djica do zo'u le go'i ka'e co'a dunli da
To rephrase, why did you say an address?	.i va'i do pu ku cusku le judri mu'i ma
I told you, I disagree.	.i ke'u mi na tugni
I'm pleased with their performance.	.i mi nelci lo su'u le za'u ra tigni
Nice to meet you.	.i .oi nai mi penmi do
Nice to meet you.	.i .oi nai mi ckaji le ka ce'u ce do simxu le ka penmi
Hah, that proves I was right!	.u'a la'e di'u se jetnu le se xusra be mi
Look! There's a bird in that tree.	.u'e sei ko catlu le pa cipni cu nenri tu voi tricu
Dude, she's hot!	u'e ra cinmle
What a beautiful sunrise it is!	u'e melbi nu le solri cu to'e canci
Pshaw, is that the best you can do?	u'e ni la .tom. cu sutra lo ka tavla
Wow, there are seven people here!	.u'e ze prenu cu zvati ti
Heh, heh, he said 'arsehole'.	.u'i ra cusku zo ganxo
I didn't do anything.	.i .u'u cu'i mi pu na ku zukte su'o xlali
I apologise for arriving late.	.i .u'u lerci fa le nu mi mo'u klama
Huh? A mouse sits on my mouse.	.ue le i'u nai pa smacu cu zutse le pevysmacu po mi
It's unbelievably beautiful!	ue sai tai ianai melbi
I never expected that to happen.	mi pu no roi kanpe lo simsa fasnu
I am fine, and you?	be'u cu'i i pei
Nice to meet you too.	si'a mi gleki lo nu penmi do
I'm happy now that you've arrived.	.ui bu'o do mo'u klama
Kimi smiled — I can't believe it!	ui ianairu'e la kimis cisma
You're happy, what have you been doing all this long time until now?	do gleki i se ki'u le nu go'i kei do pu ze'u i'u zukte ma
Happily, the workaholic did not die.	ui le du'e va'e gunka na ku pu co'a morsi
Happy New Year!	ui dai li'i co'a na'arcitsi
Happy New Year!	ui dai li'i cnino na'arcitsi
Such a wonderful music!	u'e melbi zgike
I'm glad to hear that.	ui zabna nuzba
Are you all right?	uu oi pei
Esperanto, an official language of the European Union, finally!	.i le sperybau zo'u se ke catni zanru bangu bu'u la orpno gunma vau uo sai
To err is human, to forgive divine.	lo ka remna cu ka ta'e srera i lo ka censa vrude cu ka ka'e fraxu
I'll finish the work five days from now.	.ai mi ca le te temci be nau'u bei le djedi be li mu mo'u gunka
I wish you were here with me now.	au da'i do ca kansa mi lo ka zvati ti
I want to go out.	au mi klama lo bartu
I want to go abroad.	au mi klama lo drata gugde
I want to be able to speak French fluently.	au mi certu lo ka se bangu le fraso
I'd rather be a bird than a fish.	au da'i mi cipni gi'e nai finpe
I wish I knew.	au da'i mi djuno
Would you like to go to a movie tomorrow night?	ausai mi visra ra
He died a few days later.	ra pu ba la'u le djedi be li so'u co'a morsi
That's the eject button. Don't touch it.	lo nu vimcu cu se tekla sei ko na pilno
Foolish, foolish me.	jai zu'e bebna bebna fa mi
Fool!	ge'e jai zu'e bebna
It's my son.	ra bersa mi
It's the largest in the world.	traji lo ka barda vau fo le'i munje
At the entrance of a Japanese house, visitors are generally asked to take off their shoes.	bu'u le nerklastu be lo'e ponjo zdani lo'e vitke cu ei ba'a co'u dasni le vo'a cutci
I bumped into him at the station.	mi pu snuti penmi ra le tcana
It is raining.	ca ca'o carvi
It's raining.	ca ca'o carvi
The day was hot.	pi glare ca le donri
A lot of buildings collapsed in Japan due to the earthquake yesterday.	ca lo prulamdei bu'u le ponjo ri'a lo nu .oi cai le terdi cu desku vau so'i dinju co'a porpi
Yesterday snow fell.	.i ca le prulamdei loi snime mo'u carvi
Yesterday the book was bought.	.i ca le prulamdei le cukta mo'u jai se vecnu
Yesterday I was ill.	.i ca le prulamdei mi bilma
I helped him yesterday.	.i ca le prulemdei mi sidju ra
Yesterday I bought a book.	ca le prulamdei mi te vecnu tu'a le pa cukta 
When are you off?	do ca ma co'u zvati ti
When do you leave here?	do ca ma co'a klama fi ti
When were you born?	do pu co'a cifnu ca ma
When did you buy the watch?	do pu te vecnu tu'a le junla ca ma
When did you arrive in China?	do pu mo'u klama le jugygu'e ca ma
When do you arrive?	ca ma do mo'u klama
I make €100 a day.	ro da poi djedi zo'u ca da mi jerna le ronru'u be li pa no no
I make lunch every day.	ro da poi djedi zo'u mi zbasu su'o carni sanmi
While I work, I reflect.	ze'a lo nu mi gunka kei mi pensi
Shutting down.	pu'o sisti
He is reading a book.	ra ca'o tcidu fi le cukta
You live and learn.	lo ka renvi cu ka cilre
How was your day today?	cabdei pei
Are they live?	xu le za'u du cu akti
It's done!	mo'u fasnu
I don't like chocolate.	mi na nelci lo'e cakla
He is a bad boy.	le nanla na vrude
Crazy!	fenki
Thank you very, very much!	mutce mutce ckire do
Thank you for coming early.	ckire do lo ka klama ca lo clira
Thank you for building this wall.	ckire do lo ka zbasu ti voi bitmu
Thank you for the information.	ckire do lo ka jai gau djuno
Her legs are long.	ra se tuple lo clani
Where does it leave from?	klama fi ma
Just a little bit.	so'u va'e
I haven't heard from him since then.	co'a la'e di'u mi na ku ve nuzba le prenu
Bye!	co'o
Good-bye!	co'o
Goodbye!	co'o
Goodbye, Bob and Nora.	co'o la .bab. .e la .noras.
Hi, George! How's it going?	co'oi .djordj. do mo
How long will you be home?	ai dai ze'a ma do zvati le zdani
The rain stopped at last.	co'u je za'o carvi
Hello.	coi
Hi.	coi ga'icu'i
How goes it, Jacques?	coi djaks do mo
Hi! Where do you want to go?	do klama ma au dai
Hello, how are you doing?	coi do do mo
Hello, how are you?	coi do do mo
Hi! How are you?	coi .i pei
Hi, how are you?	coi .i pei
Hi. How are you?	coi .i pei
Greetings, old friend!	sei mi do i'u rinsa
Hello, old friend!	coi .i'u
Hi, Tom!	coi .tam.
Hi, John. - I'm not John.	lu coi djan li'u lu mi'e nai djan li'u
Hello, this is Mike.	coi mi'e maik
Hello, it's me, Nancy!	coi mi'e nansis
Hello, I am Sepideh.	coi mi'e sepides
Hello, world!	coi munje
Hello everyone!	coi ro do
Hi, everybody!	coi ro do ga'i cu'i
Hello, world!	coi se terdi
Hello, old friend!	coi slabu pendo
Hello, Tom.	coi tam
Hi, Tom.	coi tam.
Hey cat, how are you? Are you sitting in the house? There are two cats.	coi le mlatu do mo i xu do ca' ozutse bu'u le dinju i re da mlatu
That hurts.	cortu
It's fall now.	ca critu
You can't open a window on a plane.	na ka'e kargau le canko be lo'e vinji ca le nu ri vofli
We have a problem.	.i mi'ai se nabmi su'o da
There is an apple on the table.	.i ga'u re'o le jubme pa plise cu zvati
There is an apple under the desk.	.i ni'a le jubme pa plise cu zvati
There's someone outside.	.i su'o jmive ca bartu
There's someone here.	.i su'o jmive ca zvati ti
There's someone inside.	.i su'o jmive ca nenri
There is something I want to sing.	.i su'o da zo'u mi djica le nu mi sanga da
I'd very much like to know your opinion.	.i .ausai mi djuno le du'u do jinvi makau
You will fail.	.i do ba fliba
You will regret this.	do ba xenru
You'll get well soon.	do ba zi di'a kanro
You're nuts!	.i do zukte le ba'e fenki
You CAN do it.	do ba'e kakne
You've already forgotten.	do pujenai morji
You are not a child any more.	do ba'o verba
You're not a child anymore.	do ba'o verba
You speak.	do bacru
You run.	do bajra
Which language do you teach?	.i ma bangu gi'e ckaji le ka do ctuca fo ce'u
You jumped high enough.	do mo'u plipe fo le raunzu
You jumped high enough to touch this branch.	do raunzu lo ka mo'u plipe fo makau da kei lo ka pencu ti voi jimca
You are a large person.	do barda prenu
You are stupid.	do bebna
You are foolish.	do bebna
Whose son are you?	do bersa ma
You have to do it, whether you like it or not.	do bilga gi'u djica
You don't have to hang around if you don't want to.	ganai do na djica le nu do zvati ti gi do na bilga le ka gasnu nu bu
You must go up the hill.	do bilga lo ka cpare le cmana
You must come with me.	do bilga lo ka kansa mi lo ka klama
You must join me.	do bilga lo ka kansa mi
You must not go inside.	do bilga lo ka na klama le nenri
You're required to help them.	do bilga lo ka sidju
You must study more.	do bilga lo ka zenba lo ka tadni
You must study more.	do bilga lo ka zenba lo ka tadni xo kau da 
You must pay attention to the teacher.	do bilga lo ka jundi le ctuca
You're bleeding.	do vikmi le ciblu
You're looking at that tree.	do ca ca'o catlu tu voi tricu
What are you doing?	do ca jai gau mo
What are you doing?	do ca zukte ma
What are you up to?	do cinmo lo ka pu'o zukte ma
What's up?	ma nuzba
What are you doing?	do ca jai gau mo
You're in shock.	do ca'a se jenca
What are you doing?	.i do ca'o zukte ma
You are a panda.	do latcribe
You're bleeding.	do vikmu le ciblu
What are you eating?	do ca'o citka ma
You're not as young as Tom.	do zmadu la .tom. lo ka jmive ze'a makau 
You're weird.	do jai cizra
When are you leaving?	do cliva de'i ma
You are a small person.	do cmalu prenu
You're smaller than Tom.	do mleca la .tom. lo ka se canlu
You're new, aren't you?	do cnino xu nai
You probably don't want to talk to me.	.i la'a do na audji le ka tavla mi
What are you talking to?	.i do ca ca'o tavla ma
What did you say to Paula?	.i ma ckaji le ka do pu cusku fi la paulas.
You decide.	.i do jdice
What do you want to do when you grow up?	.i do djica le nu ma jibri do ca le nu do makcu
What would you like to eat?	.i do xagji ma
What do you want me to do?	.i do djica le nu mi zukte ma
What is it that you want me to do?	.i ma jai se djica da fai le ka mi zukte
What do you want to drink?	.i do djica le nu do pinxe ma
You must take good care of yourself.	.i .ei do do kurji
Are you German?	.i xu do dotco
What country were you born in?	ma gugde gi'e stuzi lo nu do co'a cifnu
When is your birthday?	do jbena fi ma
Where were you born?	do jbena fo ma
You are from Hokkaido, aren't you?	.i ie pei do klama fi la .xokaidon.
Where are you from?	.i ma do krasi gi'e stuzi
Where were you born?	.i bu'u ma do co'a cifnu
Did you get it?	xu do mo'u cpacu
"What do you believe of 'pelmeni'?" "Nothing, I don't know such word."	lu do jinvi ma zo pelmeni li'u lu na'i go'i .i mi na se slabu le valsi li'u
Where are you going to go?	.i do aidji le ka klama ma
What did you find out?	.i do pu facki ma
What did you answer?	.i do pu spusku ma
You're so beautiful!	.i do mutce melbi
What's up?	.i ma nuzba
You're dead.	.i do ca morsi
You're really a hard worker.	.i do mutce le ka gunka
You won't be alone.	.i do ba kansa su'o da
You aren't allowed in this room.	do na jai se curmi fai lo nu do zvati ti voi kumfa
You can't see.	.i do na viska
You aren't alone.	.i do kansa su'o da
Who do you like?	.i do nelci le jmive poi mo
It is necessary for you to go.	.i do jai sarcu fai le ka cliva
You need sleep.	.i do nitcu le nu do sipna
You never understand anything.	.i ro da zo'u do no roi jimpe da
What are you thinking of?	.i do ca ca'o pensi ma
What do you think?	.i do jinvi ma
This book belongs to you.	do ponse ti voi cukta
This book is yours.	do ponse ti voi cukta
You ate an apple, yay!	.i ui do pu co'i citka pa plise
Who were you talking with?	.i do pu ca'o tavla ma
You cheated.	.i do pu zukte lo tcica
Which house did you live in?	.i ma pu zdani do
You sowed the grain a little while ago; when else do you sow it?	do puzi je cu'e sombo le gurni
How old are you?' 'I'm 16 years old.'	lu .i do renvi fi ma li'u lu .i le nanca be li pa xa li'u
What is your name?	ma cmene do
What's your name?	ma cmene do
What are you reading?	.i do ca ca'o tcidu ma
How much have you paid for this computer?	do te vecnu ti voi skami vau fo ma
How heavy you are!	.i do mutce ue tilju
Where are you from?	.i do klama fi ma
What planet do you live on?	.i do xabju le plini poi mo
You are a good student.	.i do zabna tadni
How often do you go abroad?	.i pa roi ma do klama lo drata gugde
You are wrong.	.i do xusra le jitfa
Do you exist?	.i xu do zasti
Sit down, please,' he said.	.i fe lu .e'o do zutse li'u fa ra pu cusku
How often do you go abroad?	.i pa roi ma do klama lo drata gugde
How did you get here?	.i ta'i ma do ti co'a ku zvati 
Hey, John.	ju'i la djan.
Sam, no!	doi sam. do'u .e'unai
Wake up Tom.	.i ko co'a cikna doi la tom.
This is highly irregular.	mutce vitci
The choice is yours.	.i ba'e do du le cuxna
I have to go now. Bye!	.i .ei mi ca cliva co'o
I can't tell Tom that.	.i .ei mi'ai pensi lei za'u pendo
Write your address, please.	.i .e'o do ciska le judri pe do
Please come. I really want to meet you.	e'o do klama ije mi djica zo'onai le nu mi penmi do
Don't be so noisy, please.	.i .e'o sai do na mutce cladu
Please don't forget to send out the letters.	.i ko na co'u morji le du'u sarcu fa le nu do benji le za'u xatra vau goi ko'a .i je ko zukte ko'a
Give us a moment, please.	.i .e'o do ze'i denpa tu'a mi'a
Please replace it.	.i .e'o do jai gau basti
Please show me the schedule.	.i .e'o do jai gau zgana fai mi le cartu be le tcika
Please be polite.	.i .e'o do clite
Please take me to this address.	e'o do gidva mi tu'a le se judri be ti
Please pay attention.	.i .e'o do jundi
White bread, please.	.i .e'o lei blabi nanba
Two ice creams, please.	.i .e'o re lei bisyladru
How about running?	.i pei mi'o bajra
Let's go now.	.i .e'u mi'o ca klama
Let's play soccer.	.i .e'u mi'o ci'erkei le fudbolo
Let's go!	.i .e'u mi'o klama
Let's go swimming.	.i .e'u klama mu'i le nu vo'a limna
Let's go home!	.i .e'u klama lo zdani
It has to stop.	.i ei co'u fasnu
This has to stop.	.i ei co'u fasnu
You have to memorize this sentence.	ei do na'o morji fi ti voi jufra
I can't permit this.	.i ca'e mi na permite
I have to meet him.	.i mi bilga le penmi le nakni
I have to take a rest.	.i sarcu fa le nu mi surla
I have to try.	.i mi bilga le ka troci
I have to visit Tom.	.i mi bilga le ka vitka la tom.
We must fix this.	.i .ei mi'ai cikre
We have to act quickly.	.i .ei mi'ai sutra lo ka zukte
This shouldn't happen.	.i ba'a na ba ku fasnu
It should be fun.	.i ba'a xajmi
We should eat.	.i .ei mi'ai citka
You have to stop.	.i .ei do sisti
There are things I have to know about.	.i mi djuno su'o da .ei
What would you like?	.i ma do se djica da'i
What did you see?	.i ma do pu se viska
What did you just say?	.i ma do pu zi se cusku
What do you want?	.i fe ma fa do ca djica
Who's Tom looking at?	.i ma jmive gi'e ca ca'o se catlu la tom.
What is Tom doing here?	.i fe ma fa la tom bu'u ti ca ca'o zukte
What's Tom afraid of?	.i fe ma fa la tom. ca terpa
Which car did you buy?	.i ma karce gi'e co'i se vecnu do
Where are my pictures?	.i fe ma zvati fa le pe mi za'u pixra
Are you the giver or the receiver of this rose?	fi'a do dunda fe tu'a ti voi rozgu
How will you travel to Osaka?	i fo ma do klama la .osakan.
If P, then Q' is logically equivalent to '(Not P) and/or Q'.	ganai broda gi brode .ijo seni'i bo ga na broda gi brode
If P, then Q' is logically equivalent to 'If not Q, then not P'.	ganai broda gi brode .ijo seni'i bo ganai na brode gi na broda
If I were to live abroad, I would live in Britain.	ai ganai mi xabju su'o drata gugde gi mi xabju le ritygu'e
If you really want to know, all you have to do is ask.	ei ganai do je'a audji le ka djuno gi do retsku po'o
If God did not exist, it would be necessary to invent him.	ganai la cevni na zasti gi sarcu fa lo nu finti ri
In case of fire, press this button.	.i ga nai fagri gi pilno ti noi batke vau le te finti be ri
If something is fun, I like to do it, of course.	.i no'o da ga nai da zdile gi ckaji le ka li'a mi se pluka le ka zukte da
Who did it?	.i ma pu gasnu
Happy New Year!	.i .a'o do gleki ca le cnino detna'a
I wish you a Happy New Year.	.i mi zandapma do le ka gleki ca le cnino detna'a
That's true.	jetnu
Yes.	je'u
He does speak well.	.i ra je'a zabna tavla
You don't want to know.	.i ju'a do na djica le nu do djuno
Excuse me, could someone tell me where the bathroom is?	ju'i do'u ma stuzi le vimku'a
Do you really think Tom will want to go with us?	.i ju'o sai pei la .tom. ba djica le nu ri kansa mi'ai
I'm sure that's not what you want to do.	ju'o la'e do'i na ckaji lo ka do djica lo nu do zukte ce'u
They definitely know.	.i le za'u mei cu ju'o djuno
I know who killed Tom.	.i mi djuno le du'u maka pu catra la t.om.
I don't know.	.i mi na djuno
I don't know who killed Tom.	.i mi na djuno le du'u ma kau pu catra la .tom.
Did you know that Mary killed Tom?	.i xu do pu djuno le du'u la maris pu catra la .tom.
Are you certain?	.i xu do birti
How certain are you that he's a criminal?	.i xu do birti le du'u le nanmu cu zukte lo zekri
Are you sure this is what you want?	.i pei do djica
Why would you want to do something like that?	fi ma fa do aidji lo ka zukte lo simsa be la'e do'i
Write your name and address.	ko ciska le cmene be do fe le judri be le zdani be do
Buy a liter of milk, and if there are eggs, buy a dozen eggs.	ko erve tu'a pa litce poi ladru .ije ganai zvati fa su'o caksova gi ko erve tu'a pare ri
If you want to run, then run.	e'u ganai do djica lo nu do bajra gi do bajra
Live and let live.	ko jmive gi'e curmi lo nu jmive
Come and see me tonight.	ko klama gi'e penmi mi ca le nicte
Marry me.	.i ko mi co'a speni
Be still.	.i ko na muvdu
Don't do this to me!	.i ko na jai zu'e co'e mi
Thou shalt not kill.	.i ei do na catra
Don't leave.	.i ko na co'u zvati
Don't do it.	.i ko na zukte
Don't ask me for money.	.i ko na cpedu tu'a lo jdini mi
Don't give me that!	.i ko na jai gau ralte fai mi ta
Do not try to imitate her.	.i ko na troci le ka simsa ra le ka tarti ma kau
Don't give up.	ko na co'u troci
No smoking!	.ei na sigva'u
Don't ask any questions.	ko na retsku
Don't say anything to anybody.	ko na ku tavla su'o da ce'e su'o de
Don't look at this!	ko na catlu ti
Don't look at her!	ko na catlu le pa ninmu
Don't look at him!	ko na catlu le pa nanmu
Don't look at me!	ko na catlu mi
Don't be silly.	ko na bebna
He wants to come.	ra aidji lo ka klama
She wants me to help her with her homework.	ra djica lo nu mi sidju ra tu'a le zdakemkulgu'a pe ra
She didn't want to get involved.	le ninmu na pu djica lo ka se cuntu
He's not very good at remembering names.	ra na certu lo ka morji fi lo'e cmene
He doesn't speak my language.	.i ra na se bangu le bangu be mi
She speaks German.	.i ra voi fetsi cu se bangu lo dotco
He's good.	.i le bi'u nai nakni cu zabna
She's good.	.i le bi'u nai fetsi cu zabna
He is Swiss.	.i le bi'u nai nakni cu xelvetiko
Carmen is a Spanish name.	zo .karmen. spano cmene
Steve is an American name.	zo .stiv. merko cmene
Tom wants to stick around.	la tom cu aidji lo ka stali
Where was Tom born?	.i pu ku bu'u ma la tom co'a cifnu
Tom broke the window.	.i la .tom. pu jai gau spofu fai le pa canko
Thomas likes Anna, but Anna doesn't like Thomas.	la .tomas. cu prami la .anas. i ku'i je la .anas. na prami la .tomas.
Big Brother is watching you.	i la barda bruna ru'i zgana do
The name of my name is 'Strange'.	zo cizra cmene mi
Jiro wants to drink Coke.	la jiron cu djica lo nu ri pinxe loi me la kokakolas
John and I are old friends.	.i la djan ce mi ze'u simxu le ka pendo
Judy is kind to everyone.	i la judis ta'e xendo ro prenu
Ken wants a bicycle.	.i la .ken. cu djica le nu ri ralte su'o relxilma'e
Obama said that Romney is forgetting what his own positions are — 'and he's betting that you will too'.	la obamas pu xusra lo du'u la romni cu tolmo'i tu'a le se jinvi be ri i je cu'u obu boi ry kanpe lo nu do'o si'a tolmo'i
Tom wants attention.	la tom cu djica le nu ri se jundi
Tom is a priest.	.i la tom cu catni le lijda
Tom wanted to find out.	la tom pu djica le nu ri facki
